ID	LENGTH	GC	COVERAGE	ORF_COUNT	ORF_PER_KB	ORF_MEAN	ORF_MEDIAN	ORF_PLUS_STRAND_RATIO	INTERGENIC_MEAN	INTERGENIC_MEDIAN	FRACTION_OVERLAPPING_ORFS	NCLDV_HITS	NCVOG_HITS	CAPSID	RIBOSOMAL	MT
NODE_1_length_182523_cov_54.623072	182523	49.30	54.623072	223	1.22	0.409	0.276	1.084	240.50	240.50	0.06	0	1	0	0	0
NODE_2_length_118576_cov_58.038000	118576	48.94	58.038	166	1.40	0.360	0.275	1.371	266.00	266.00	0.09	0	1	0	0	0
NODE_3_length_110701_cov_57.277381	110701	49.28	57.277381	143	1.29	0.418	0.321	0.744	290.00	290.00	0.11	0	0	0	0	0
NODE_4_length_110470_cov_55.640394	110470	49.06	55.640394	144	1.30	0.390	0.298	1.286	305.50	305.50	0.10	1	1	0	0	0
NODE_5_length_110427_cov_55.180054	110427	48.05	55.180054	144	1.30	0.483	0.318	1.057	201.00	201.00	0.17	1	5	0	0	0
NODE_6_length_107893_cov_104.887920	107893	49.51	104.88792	138	1.28	0.397	0.309	0.725	260.00	260.00	0.12	0	0	0	0	0
NODE_7_length_106424_cov_55.795509	106424	49.11	55.795509	149	1.40	0.369	0.273	1.191	199.00	199.00	0.11	0	0	0	0	0
NODE_8_length_103020_cov_57.302303	103020	49.16	57.302303	119	1.16	0.403	0.276	0.831	249.00	249.00	0.10	0	1	0	0	0
NODE_9_length_98568_cov_57.227523	98568	49.21	57.227523	134	1.36	0.374	0.276	1.161	239.00	239.00	0.13	1	0	0	0	0
NODE_10_length_98218_cov_58.048053	98218	49.61	58.048053	117	1.19	0.504	0.327	0.773	252.00	252.00	0.12	0	0	0	0	0
NODE_11_length_97868_cov_56.452097	97868	49.22	56.452097	134	1.37	0.326	0.246	0.718	259.50	259.50	0.15	0	0	0	0	0
NODE_12_length_97848_cov_52.950190	97848	49.43	52.95019	135	1.38	0.418	0.291	0.731	218.00	218.00	0.12	0	2	0	0	0
NODE_13_length_96065_cov_53.170917	96065	50.00	53.170917	106	1.10	0.494	0.280	1.038	260.00	260.00	0.08	0	1	0	0	0
NODE_14_length_95544_cov_103.704023	95544	49.46	103.704023	149	1.56	0.324	0.252	0.733	177.00	177.00	0.15	0	0	0	0	0
NODE_15_length_92802_cov_51.481769	92802	45.30	51.481769	97	1.05	0.486	0.303	0.732	353.00	353.00	0.11	0	2	0	0	0
NODE_16_length_89267_cov_55.391008	89267	49.72	55.391008	120	1.34	0.472	0.304	1.449	190.50	190.50	0.10	0	1	0	0	0
NODE_17_length_89042_cov_54.578520	89042	49.47	54.57852	111	1.25	0.346	0.273	0.850	280.00	280.00	0.10	0	0	0	0	0
NODE_18_length_88542_cov_56.127440	88542	48.98	56.12744	116	1.31	0.396	0.315	0.568	213.00	213.00	0.08	0	1	0	0	0
NODE_19_length_87816_cov_55.981707	87816	48.37	55.981707	111	1.26	0.419	0.327	0.982	298.50	298.50	0.10	0	0	0	0	0
NODE_20_length_84730_cov_56.892361	84730	49.21	56.892361	117	1.38	0.360	0.282	1.167	260.00	260.00	0.10	0	2	0	0	0
NODE_21_length_84084_cov_49.753616	84084	49.09	49.753616	117	1.39	0.392	0.288	1.127	222.00	222.00	0.09	0	0	0	0	0
NODE_22_length_83154_cov_57.113437	83154	49.34	57.113437	121	1.46	0.375	0.279	1.017	247.00	247.00	0.12	0	0	0	0	0
NODE_23_length_82630_cov_58.272988	82630	48.82	58.272988	108	1.31	0.355	0.288	0.421	342.50	342.50	0.11	0	1	0	0	0
NODE_24_length_79459_cov_55.404701	79459	49.20	55.404701	80	1.01	0.567	0.261	1.000	257.50	257.50	0.07	0	0	0	0	0
NODE_25_length_77710_cov_101.296073	77710	47.11	101.296073	86	1.11	0.297	0.249	1.774	355.00	355.00	0.14	0	0	0	0	0
NODE_26_length_75687_cov_55.350020	75687	49.36	55.35002	88	1.16	0.423	0.283	0.571	307.00	307.00	0.12	0	0	0	0	0
NODE_27_length_75372_cov_56.416110	75372	49.17	56.41611	93	1.23	0.404	0.282	0.938	349.00	349.00	0.09	0	1	0	0	0
NODE_28_length_72686_cov_52.560757	72686	49.07	52.560757	88	1.21	0.421	0.264	1.047	224.00	224.00	0.11	0	0	0	0	0
NODE_29_length_72564_cov_55.733883	72564	49.19	55.733883	94	1.30	0.414	0.300	0.808	234.00	234.00	0.12	0	0	0	0	0
NODE_30_length_71158_cov_53.925156	71158	49.64	53.925156	91	1.28	0.449	0.288	0.542	227.50	227.50	0.08	0	1	0	0	0
NODE_31_length_68815_cov_54.646266	68815	49.17	54.646266	95	1.38	0.372	0.258	1.111	301.00	301.00	0.15	0	5	0	0	0
NODE_32_length_68278_cov_56.880575	68278	48.90	56.880575	80	1.17	0.440	0.283	0.778	387.00	387.00	0.14	0	0	0	0	0
NODE_33_length_67979_cov_57.634517	67979	49.40	57.634517	82	1.21	0.424	0.297	1.000	408.00	408.00	0.11	0	0	0	0	0
NODE_34_length_67828_cov_57.013254	67828	49.11	57.013254	88	1.30	0.366	0.260	0.692	331.50	331.50	0.11	0	0	0	0	0
NODE_35_length_66166_cov_54.273934	66166	49.91	54.273934	89	1.35	0.352	0.264	1.070	285.00	285.00	0.11	0	1	0	0	0
NODE_36_length_64988_cov_54.384942	64988	49.09	54.384942	97	1.49	0.352	0.267	0.980	199.00	199.00	0.05	0	1	0	0	0
NODE_37_length_64784_cov_56.776268	64784	49.39	56.776268	88	1.36	0.348	0.294	0.872	229.50	229.50	0.11	0	0	0	0	0
NODE_38_length_64571_cov_55.196034	64571	48.85	55.196034	85	1.32	0.388	0.270	1.024	263.00	263.00	0.05	0	9	0	0	0
NODE_39_length_64428_cov_100.228590	64428	49.58	100.22859	92	1.43	0.443	0.303	1.421	201.00	201.00	0.10	0	0	0	0	0
NODE_40_length_63621_cov_52.506153	63621	47.12	52.506153	82	1.29	0.304	0.249	0.907	272.50	272.50	0.12	0	0	0	0	0
NODE_41_length_62421_cov_55.903086	62421	49.48	55.903086	88	1.41	0.343	0.264	0.630	313.00	313.00	0.08	0	1	0	0	0
NODE_42_length_62409_cov_53.890297	62409	48.38	53.890297	86	1.38	0.335	0.291	0.755	307.00	307.00	0.14	0	0	0	0	0
NODE_43_length_62385_cov_58.021105	62385	49.44	58.021105	86	1.38	0.369	0.303	1.098	241.50	241.50	0.07	0	1	0	0	0
NODE_44_length_61928_cov_54.338345	61928	49.22	54.338345	80	1.29	0.391	0.320	1.000	339.00	339.00	0.10	0	0	0	0	0
NODE_45_length_61572_cov_56.171396	61572	49.23	56.171396	77	1.25	0.422	0.273	0.878	273.50	273.50	0.04	0	0	0	0	0
NODE_46_length_59032_cov_52.911814	59032	49.98	52.911814	89	1.51	0.321	0.255	1.618	210.00	210.00	0.12	1	5	0	0	0
NODE_47_length_58552_cov_58.068217	58552	47.14	58.068217	76	1.30	0.495	0.336	0.520	219.50	219.50	0.16	0	0	0	0	0
NODE_48_length_58416_cov_51.523423	58416	49.48	51.523423	83	1.42	0.353	0.243	1.243	261.00	261.00	0.12	0	0	0	0	0
NODE_49_length_58370_cov_53.795327	58370	49.10	53.795327	84	1.44	0.370	0.261	0.787	237.50	237.50	0.10	0	0	0	0	0
NODE_50_length_58306_cov_57.562950	58306	47.78	57.56295	73	1.25	0.420	0.282	1.433	194.00	194.00	0.10	0	0	0	0	0
NODE_51_length_58044_cov_51.554712	58044	48.92	51.554712	80	1.38	0.353	0.269	1.000	215.00	215.00	0.14	0	0	0	0	0
NODE_52_length_57533_cov_57.843393	57533	48.71	57.843393	75	1.30	0.393	0.261	1.206	311.00	311.00	0.13	0	0	0	0	0
NODE_53_length_57528_cov_54.316774	57528	49.02	54.316774	86	1.49	0.330	0.260	1.324	274.00	274.00	0.09	0	0	0	1	0
NODE_54_length_57388_cov_54.917276	57388	49.05	54.917276	62	1.08	0.475	0.283	1.000	326.00	326.00	0.11	0	0	0	0	0
NODE_55_length_56713_cov_52.546967	56713	49.68	52.546967	64	1.13	0.508	0.304	1.286	367.50	367.50	0.09	0	0	0	0	0
NODE_56_length_56632_cov_57.327540	56632	48.82	57.32754	76	1.34	0.346	0.261	1.621	212.00	212.00	0.17	0	1	0	0	0
NODE_57_length_56620_cov_99.430469	56620	48.84	99.430469	60	1.06	0.568	0.310	0.714	314.00	314.00	0.12	0	0	0	0	0
NODE_58_length_56563_cov_57.370393	56563	46.14	57.370393	56	0.99	0.628	0.624	1.240	279.50	279.50	0.07	0	0	0	0	0
NODE_59_length_55965_cov_58.002791	55965	48.83	58.002791	81	1.45	0.323	0.243	1.250	277.00	277.00	0.07	0	3	0	0	0
NODE_60_length_55828_cov_55.348424	55828	49.20	55.348424	90	1.61	0.316	0.264	1.368	233.00	233.00	0.16	0	0	0	0	0
NODE_61_length_55791_cov_51.125624	55791	48.94	51.125624	82	1.47	0.390	0.285	1.103	288.00	288.00	0.20	0	0	0	1	0
NODE_62_length_55759_cov_53.130796	55759	49.63	53.130796	73	1.31	0.488	0.345	0.738	171.00	171.00	0.08	0	0	0	0	0
NODE_63_length_55617_cov_52.656014	55617	48.85	52.656014	74	1.33	0.358	0.264	0.805	260.00	260.00	0.11	0	1	0	0	0
NODE_64_length_55603_cov_57.747650	55603	48.99	57.74765	75	1.35	0.369	0.276	1.344	215.50	215.50	0.15	0	1	0	0	0
NODE_65_length_55586_cov_50.086346	55586	49.88	50.086346	86	1.55	0.377	0.278	0.536	195.00	195.00	0.13	0	0	0	0	0
NODE_66_length_55498_cov_52.303531	55498	49.89	52.303531	62	1.12	0.476	0.283	0.590	301.00	301.00	0.06	0	0	0	0	0
NODE_67_length_55448_cov_54.452674	55448	49.77	54.452674	71	1.28	0.410	0.297	0.919	313.50	313.50	0.10	0	1	0	0	0
NODE_68_length_54401_cov_57.937652	54401	49.38	57.937652	64	1.18	0.438	0.342	1.000	264.00	264.00	0.08	0	1	0	0	0
NODE_69_length_54242_cov_51.405889	54242	48.35	51.405889	73	1.35	0.378	0.267	1.808	272.50	272.50	0.15	0	1	0	0	0
NODE_70_length_53304_cov_50.796645	53304	49.44	50.796645	54	1.01	0.456	0.272	0.862	268.00	268.00	0.11	0	1	0	0	0
NODE_71_length_53168_cov_57.189316	53168	48.89	57.189316	86	1.62	0.311	0.255	0.623	239.00	239.00	0.13	0	1	0	0	0
NODE_72_length_52171_cov_57.437632	52171	49.48	57.437632	72	1.38	0.407	0.286	0.714	255.00	255.00	0.15	0	0	0	0	0
NODE_73_length_52129_cov_57.173384	52129	49.35	57.173384	79	1.52	0.392	0.273	1.079	186.00	186.00	0.16	0	1	0	0	0
NODE_74_length_52111_cov_55.349483	52111	49.21	55.349483	53	1.02	0.552	0.312	1.038	312.50	312.50	0.09	1	1	0	0	0
NODE_75_length_51997_cov_54.930470	51997	49.55	54.93047	83	1.60	0.338	0.264	2.192	147.00	147.00	0.13	0	0	0	0	0
NODE_76_length_51931_cov_57.416593	51931	49.32	57.416593	73	1.41	0.401	0.315	0.872	171.00	171.00	0.04	0	0	0	0	0
NODE_77_length_51497_cov_55.416647	51497	49.18	55.416647	74	1.44	0.352	0.282	1.387	227.00	227.00	0.07	0	0	0	0	0
NODE_78_length_51140_cov_52.468402	51140	48.85	52.468402	57	1.11	0.409	0.315	0.966	379.00	379.00	0.11	0	0	0	0	0
NODE_79_length_51054_cov_101.776801	51054	50.48	101.776801	72	1.41	0.438	0.317	1.571	278.00	278.00	0.15	0	2	0	0	0
NODE_80_length_51031_cov_51.896672	51031	49.45	51.896672	69	1.35	0.412	0.288	0.500	196.50	196.50	0.13	0	0	0	0	0
NODE_81_length_50749_cov_55.273524	50749	49.27	55.273524	67	1.32	0.440	0.363	0.914	273.00	273.00	0.12	0	2	0	0	0
NODE_82_length_50728_cov_104.479813	50728	47.43	104.479813	82	1.62	0.345	0.255	1.343	180.00	180.00	0.12	0	0	0	0	0
NODE_83_length_50720_cov_57.112118	50720	48.56	57.112118	63	1.24	0.387	0.306	1.250	254.50	254.50	0.14	0	1	0	0	0
NODE_84_length_50437_cov_53.870969	50437	49.40	53.870969	77	1.53	0.390	0.225	1.081	193.00	193.00	0.16	0	1	0	0	0
NODE_85_length_50221_cov_57.032965	50221	50.16	57.032965	64	1.27	0.472	0.326	1.207	238.50	238.50	0.12	0	0	0	0	0
NODE_86_length_50148_cov_56.169120	50148	49.28	56.16912	71	1.42	0.374	0.273	1.219	265.00	265.00	0.13	0	0	0	0	0
NODE_87_length_49650_cov_47.642487	49650	49.87	47.642487	69	1.39	0.451	0.297	0.683	235.00	235.00	0.14	0	0	0	0	0
NODE_88_length_49166_cov_83.301147	49166	49.38	83.301147	47	0.96	0.682	0.405	0.382	143.00	143.00	0.13	0	1	0	0	0
NODE_89_length_49125_cov_56.152769	49125	48.83	56.152769	76	1.55	0.334	0.298	0.333	239.50	239.50	0.08	0	0	0	0	0
NODE_90_length_49087_cov_54.315956	49087	49.45	54.315956	53	1.08	0.484	0.303	0.828	203.00	203.00	0.09	0	0	0	0	0
NODE_91_length_49015_cov_57.810822	49015	49.02	57.810822	80	1.63	0.344	0.286	0.702	229.00	229.00	0.09	0	0	0	0	0
NODE_92_length_48992_cov_53.620996	48992	49.50	53.620996	74	1.51	0.392	0.251	0.609	253.00	253.00	0.12	0	0	0	0	0
NODE_93_length_48610_cov_52.074815	48610	49.12	52.074815	59	1.21	0.343	0.273	1.185	311.50	311.50	0.12	0	0	0	0	0
NODE_94_length_48444_cov_54.231294	48444	49.22	54.231294	69	1.42	0.370	0.267	0.865	198.50	198.50	0.13	0	0	0	0	0
NODE_95_length_48337_cov_100.165624	48337	46.84	100.165624	54	1.12	0.323	0.260	1.000	368.00	368.00	0.17	0	0	0	0	0
NODE_96_length_48301_cov_57.981482	48301	49.16	57.981482	62	1.28	0.383	0.283	1.385	212.50	212.50	0.06	0	1	0	0	0
NODE_97_length_48292_cov_51.600933	48292	50.08	51.600933	66	1.37	0.424	0.304	0.500	227.00	227.00	0.20	0	0	0	0	0
NODE_98_length_48252_cov_55.725874	48252	49.61	55.725874	67	1.39	0.362	0.324	0.558	236.00	236.00	0.12	0	1	0	0	0
NODE_99_length_48039_cov_53.640382	48039	47.17	53.640382	54	1.12	0.293	0.228	1.160	293.50	293.50	0.15	0	0	0	0	0
NODE_100_length_48007_cov_58.476340	48007	45.89	58.47634	58	1.21	0.462	0.295	1.231	148.50	148.50	0.03	0	0	0	0	0
NODE_101_length_47739_cov_57.962591	47739	49.06	57.962591	59	1.24	0.515	0.303	0.735	219.00	219.00	0.14	0	0	0	0	0
