ID	LENGTH	GC	COVERAGE	ORF_COUNT	ORF_PER_KB	ORF_MEAN	ORF_MEDIAN	ORF_PLUS_STRAND_RATIO	INTERGENIC_MEAN	INTERGENIC_MEDIAN	FRACTION_OVERLAPPING_ORFS	NCLDV_HITS	NCLDV_PERCENT	NCVOG_HITS	NCVOG_PERCENT	CAPSID	RIBOSOMAL	MT	PFAM_HITS	PFAM_PERCENT
NODE_1_length_1224173_cov_22.694847	1224173	54.65	22.694847	1437	1.17	0.558	0.387	0.931	334.18	209.00	0.08	0	0.0000	48	3.3403	0	0	0	394	27.4182
NODE_2_length_1088676_cov_22.502070	1088676	54.24	22.50207	1275	1.17	0.562	0.399	0.923	337.89	223.00	0.08	4	0.3137	44	3.4510	0	0	0	329	25.8039
NODE_3_length_908072_cov_22.624130	908072	54.69	22.62413	1118	1.23	0.567	0.355	0.889	288.67	183.00	0.10	3	0.2683	45	4.0250	0	0	0	315	28.1753
NODE_4_length_852168_cov_22.574717	852168	54.60	22.574717	1024	1.20	0.543	0.373	0.889	334.59	206.00	0.08	3	0.2930	33	3.2227	0	1	0	254	24.8047
NODE_5_length_838540_cov_22.473805	838540	54.27	22.473805	1004	1.20	0.555	0.375	0.905	322.48	200.50	0.08	7	0.6972	38	3.7849	0	0	0	282	28.0876
NODE_6_length_837164_cov_22.480544	837164	54.36	22.480544	1014	1.21	0.551	0.396	0.943	318.67	212.00	0.09	1	0.0986	41	4.0434	0	0	0	265	26.1341
NODE_7_length_716362_cov_22.357151	716362	54.13	22.357151	815	1.14	0.585	0.390	0.922	341.34	213.00	0.09	0	0.0000	24	2.9448	0	0	0	226	27.7301
NODE_8_length_676464_cov_22.263813	676464	54.30	22.263813	858	1.27	0.525	0.330	0.890	308.01	201.50	0.08	2	0.2331	32	3.7296	0	0	0	210	24.4755
NODE_9_length_662911_cov_22.059612	662911	54.10	22.059612	777	1.17	0.541	0.351	0.909	359.64	230.00	0.08	0	0.0000	24	3.0888	0	1	0	164	21.1068
NODE_10_length_656155_cov_22.316606	656155	54.52	22.316606	821	1.25	0.556	0.354	0.974	279.64	180.00	0.07	1	0.1218	29	3.5323	0	0	0	211	25.7004
NODE_11_length_599322_cov_22.430680	599322	54.64	22.43068	711	1.19	0.562	0.399	0.906	339.60	209.00	0.11	3	0.4219	28	3.9381	0	0	0	196	27.5668
NODE_12_length_577205_cov_22.723553	577205	54.82	22.723553	632	1.09	0.625	0.390	0.887	334.76	195.50	0.09	1	0.1582	24	3.7975	0	0	0	162	25.6329
NODE_13_length_560619_cov_22.425875	560619	54.37	22.425875	611	1.09	0.607	0.384	1.122	354.05	213.00	0.09	5	0.8183	20	3.2733	0	0	0	199	32.5696
NODE_14_length_559599_cov_22.449485	559599	54.23	22.449485	725	1.30	0.525	0.345	0.923	285.04	176.50	0.08	0	0.0000	19	2.6207	0	0	0	157	21.6552
NODE_15_length_540448_cov_22.689419	540448	54.70	22.689419	684	1.27	0.562	0.354	1.060	277.29	181.00	0.11	2	0.2924	33	4.8246	0	0	0	230	33.6257
NODE_16_length_529407_cov_22.593280	529407	54.60	22.59328	679	1.28	0.529	0.336	1.058	287.33	188.00	0.08	0	0.0000	17	2.5037	0	0	0	171	25.1841
NODE_17_length_522325_cov_22.177337	522325	54.70	22.177337	716	1.37	0.483	0.330	0.940	281.83	177.00	0.08	0	0.0000	14	1.9553	0	1	0	155	21.6480
NODE_18_length_492963_cov_22.355711	492963	54.48	22.355711	672	1.36	0.491	0.333	1.036	288.35	183.00	0.10	0	0.0000	14	2.0833	0	0	0	169	25.1488
NODE_19_length_490193_cov_22.484899	490193	54.37	22.484899	576	1.18	0.541	0.372	1.072	353.50	206.00	0.08	0	0.0000	18	3.1250	0	0	0	150	26.0417
NODE_20_length_465832_cov_22.406667	465832	54.38	22.406667	528	1.13	0.565	0.372	0.859	365.30	233.00	0.08	0	0.0000	19	3.5985	0	0	0	118	22.3485
NODE_21_length_458587_cov_22.682103	458587	54.37	22.682103	531	1.16	0.538	0.384	0.718	382.75	238.00	0.09	0	0.0000	18	3.3898	0	0	0	135	25.4237
NODE_22_length_445026_cov_22.503606	445026	54.43	22.503606	573	1.29	0.519	0.330	0.942	305.11	194.00	0.10	0	0.0000	27	4.7120	0	0	0	134	23.3857
NODE_23_length_424235_cov_22.245350	424235	54.26	22.24535	558	1.32	0.510	0.352	0.848	294.42	200.50	0.10	0	0.0000	13	2.3297	0	0	0	114	20.4301
