ID	LENGTH	GC	COVERAGE	ORF_COUNT	ORF_PER_KB	ORF_MEAN	ORF_MEDIAN	ORF_PLUS_STRAND_RATIO	INTERGENIC_MEAN	INTERGENIC_MEDIAN	FRACTION_OVERLAPPING_ORFS	NCLDV_HITS	NCLDV_PERCENT	NCVOG_HITS	NCVOG_PERCENT	CAPSID	RIBOSOMAL	MT	PFAM_HITS	PFAM_PERCENT
scaffold_1	908569	54.13	1	1126	1.24	0.547	0.354	1.145	309.98	192.00	0.09	0	0.0000	41	3.6412	0	0	0	304	26.9982
scaffold_2	772830	54.43	1	927	1.20	0.560	0.396	0.964	318.12	219.50	0.09	1	0.1079	39	4.2071	0	0	0	246	26.5372
scaffold_3	720467	54.62	1	879	1.22	0.545	0.390	0.958	317.14	207.00	0.08	0	0.0000	33	3.7543	0	0	0	255	29.0102
scaffold_4	671541	54.45	1	830	1.24	0.568	0.357	0.953	274.70	180.00	0.07	1	0.1205	31	3.7349	0	0	0	205	24.6988
scaffold_5	600621	54.64	1	715	1.19	0.561	0.396	0.917	337.50	207.00	0.11	3	0.4196	28	3.9161	0	0	0	196	27.4126
scaffold_6	547142	54.62	1	597	1.09	0.631	0.411	0.883	327.88	207.00	0.08	3	0.5025	29	4.8576	0	0	0	174	29.1457
scaffold_7	512928	54.66	1	582	1.13	0.589	0.380	0.883	339.14	205.00	0.09	1	0.1718	22	3.7801	0	0	0	151	25.9450
scaffold_8	471211	54.29	1	555	1.18	0.539	0.372	1.040	353.90	206.00	0.08	0	0.0000	18	3.2432	0	0	0	142	25.5856
scaffold_9	426499	54.16	1	533	1.25	0.504	0.324	0.938	344.12	216.50	0.09	1	0.1876	21	3.9400	0	0	0	140	26.2664
scaffold_10	404762	54.42	1	472	1.17	0.543	0.384	1.280	368.98	238.00	0.09	0	0.0000	18	3.8136	0	0	0	122	25.8475
scaffold_11	386603	54.67	1	481	1.24	0.556	0.360	0.700	293.97	192.00	0.09	0	0.0000	14	2.9106	0	0	0	116	24.1164
scaffold_12	377456	54.70	1	470	1.25	0.547	0.342	0.983	294.13	186.00	0.09	0	0.0000	14	2.9787	0	0	0	122	25.9574
scaffold_13	354457	54.14	1	466	1.31	0.498	0.348	0.902	312.43	207.00	0.10	0	0.0000	15	3.2189	0	0	0	119	25.5365
scaffold_14	343595	54.57	1	439	1.28	0.489	0.348	1.173	344.87	211.00	0.10	0	0.0000	11	2.5057	0	0	0	119	27.1071
scaffold_15	334506	54.09	1	446	1.33	0.498	0.329	0.948	298.62	178.00	0.09	0	0.0000	9	2.0179	0	0	0	98	21.9731
scaffold_16	331796	54.37	1	388	1.17	0.562	0.372	0.856	337.66	193.00	0.07	0	0.0000	18	4.6392	0	1	0	96	24.7423
scaffold_17	316516	54.36	1	379	1.20	0.553	0.354	0.995	324.38	221.00	0.10	0	0.0000	11	2.9024	0	0	0	94	24.8021
scaffold_18	309793	54.27	1	398	1.28	0.516	0.366	1.020	310.01	210.00	0.10	0	0.0000	9	2.2613	0	0	0	76	19.0955
