ID	LENGTH	GC	COVERAGE	ORF_COUNT	ORF_PER_KB	ORF_MEAN	ORF_MEDIAN	ORF_PLUS_STRAND_RATIO	INTERGENIC_MEAN	INTERGENIC_MEDIAN	FRACTION_OVERLAPPING_ORFS
scaffold_1	632263	19.66	1	425	0.67	0.599	0.255	0.932	480.00	480.00	0.04
scaffold_2	591679	19.65	1	339	0.57	0.709	0.297	0.813	699.50	699.50	0.06
scaffold_3	556900	19.78	1	358	0.64	0.645	0.272	0.620	469.00	469.00	0.03
scaffold_4	506084	20.00	1	329	0.65	0.573	0.267	1.056	540.50	540.50	0.03
scaffold_5	498602	18.05	1	420	0.84	0.412	0.228	0.972	405.50	405.50	0.03
scaffold_6	497280	19.95	1	334	0.67	0.574	0.238	1.049	503.50	503.50	0.04
scaffold_7	497256	18.60	1	367	0.74	0.482	0.243	0.826	408.50	408.50	0.01
scaffold_8	450507	21.97	1	310	0.69	0.591	0.246	1.095	534.00	534.00	0.05
scaffold_9	443478	18.39	1	334	0.75	0.456	0.244	0.953	473.50	473.50	0.02
scaffold_10	420550	22.26	1	256	0.61	0.702	0.237	1.048	634.00	634.00	0.07
scaffold_11	419830	19.48	1	332	0.79	0.511	0.222	0.976	493.00	493.00	0.05
scaffold_12	400236	19.61	1	271	0.68	0.552	0.252	0.895	581.00	581.00	0.02
scaffold_13	393285	20.09	1	256	0.65	0.619	0.288	1.000	605.50	605.50	0.05
scaffold_14	392425	18.24	1	247	0.63	0.509	0.246	0.960	592.00	592.00	0.02
scaffold_15	389599	18.49	1	318	0.82	0.457	0.235	1.052	425.00	425.00	0.02
scaffold_16	387047	19.08	1	265	0.68	0.513	0.246	1.172	459.50	459.50	0.03
scaffold_17	384583	18.64	1	230	0.60	0.576	0.244	0.704	648.00	648.00	0.03
scaffold_18	377008	20.38	1	216	0.57	0.700	0.315	1.038	675.00	675.00	0.06
scaffold_19	375168	19.09	1	249	0.66	0.534	0.234	0.930	578.00	578.00	0.01
scaffold_20	374142	18.47	1	257	0.69	0.456	0.270	0.918	577.50	577.50	0.03
scaffold_21	368527	20.30	1	154	0.42	0.991	0.453	1.000	777.00	777.00	0.04
scaffold_22	358724	18.55	1	216	0.60	0.552	0.247	1.427	638.00	638.00	0.03
scaffold_23	340827	18.42	1	220	0.65	0.529	0.258	1.000	575.00	575.00	0.02
scaffold_24	338235	18.89	1	220	0.65	0.487	0.260	0.897	677.00	677.00	0.04
scaffold_25	333108	18.77	1	226	0.68	0.520	0.240	1.112	518.00	518.00	0.04
scaffold_26	329809	19.83	1	209	0.63	0.632	0.246	1.133	659.00	659.00	0.01
scaffold_27	316861	18.24	1	249	0.79	0.468	0.222	1.075	410.00	410.00	0.02
scaffold_28	306056	19.14	1	197	0.64	0.555	0.255	1.096	707.50	707.50	0.03
scaffold_29	302559	18.18	1	169	0.56	0.474	0.210	0.837	836.00	836.00	0.04
scaffold_30	301502	18.98	1	224	0.74	0.519	0.216	1.699	484.50	484.50	0.02
scaffold_31	293666	21.18	1	144	0.49	0.767	0.377	0.756	729.50	729.50	0.06
scaffold_32	293170	20.31	1	134	0.46	0.812	0.341	0.787	887.50	887.50	0.03
scaffold_33	287941	18.24	1	206	0.72	0.457	0.246	0.962	639.00	639.00	0.00
scaffold_34	285723	19.78	1	167	0.58	0.732	0.291	1.386	548.50	548.50	0.03
scaffold_35	283629	18.29	1	185	0.65	0.581	0.318	1.079	692.00	692.00	0.06
scaffold_36	282476	19.35	1	191	0.68	0.578	0.228	0.891	452.50	452.50	0.04
scaffold_37	277405	18.00	1	151	0.54	0.590	0.258	1.157	833.00	833.00	0.01
scaffold_38	275840	19.46	1	148	0.54	0.732	0.273	1.000	970.00	970.00	0.06
scaffold_39	275289	18.81	1	201	0.73	0.502	0.237	1.030	495.00	495.00	0.03
scaffold_40	275253	18.74	1	181	0.66	0.527	0.243	1.034	505.00	505.00	0.02
scaffold_41	271456	19.89	1	166	0.61	0.581	0.314	0.908	646.50	646.50	0.04
scaffold_42	268786	18.68	1	171	0.64	0.494	0.282	0.900	686.50	686.50	0.06
scaffold_43	264395	18.65	1	172	0.65	0.507	0.224	1.324	638.00	638.00	0.01
scaffold_44	262817	18.15	1	185	0.70	0.445	0.225	0.779	440.50	440.50	0.03
scaffold_45	262299	18.31	1	132	0.50	0.545	0.217	1.491	886.00	886.00	0.01
scaffold_46	260363	19.81	1	166	0.64	0.529	0.213	0.729	801.50	801.50	0.02
