ID	LENGTH	GC	COVERAGE	ORF_COUNT	ORF_PER_KB	ORF_MEAN	ORF_MEDIAN	ORF_PLUS_STRAND_RATIO	INTERGENIC_MEAN	INTERGENIC_MEDIAN	FRACTION_OVERLAPPING_ORFS	NCLDV_HITS	NCLDV_PERCENT	NCVOG_HITS	NCVOG_PERCENT	CAPSID	RIBOSOMAL	MT	PFAM_HITS	PFAM_PERCENT
scaffold_1	1355699	56.24	1	1807	1.33	0.557	0.354	0.958	244.13	152.50	0.14	0	0.0000	44	2.4350	0	0	0	376	20.8080
scaffold_2	1222664	56.31	1	1581	1.29	0.571	0.372	0.962	255.95	167.00	0.13	3	0.1898	45	2.8463	0	0	0	305	19.2916
scaffold_3	1163388	56.23	1	1510	1.30	0.574	0.369	1.011	248.35	158.00	0.13	0	0.0000	41	2.7152	0	0	0	325	21.5232
scaffold_4	998907	56.00	1	1328	1.33	0.548	0.348	0.944	253.71	155.00	0.12	2	0.1506	44	3.3133	0	0	0	238	17.9217
scaffold_5	881174	56.16	1	1156	1.31	0.579	0.387	0.946	234.30	152.50	0.14	0	0.0000	24	2.0761	0	0	0	265	22.9239
scaffold_6	753298	55.85	1	957	1.27	0.588	0.387	0.922	254.57	159.50	0.14	4	0.4180	33	3.4483	0	0	0	183	19.1223
scaffold_7	690959	56.32	1	957	1.39	0.542	0.366	0.918	228.55	158.00	0.12	0	0.0000	26	2.7168	0	0	0	200	20.8986
scaffold_8	657268	55.59	1	778	1.18	0.637	0.395	1.086	258.40	170.00	0.12	0	0.0000	34	4.3702	0	0	0	99	12.7249
scaffold_9	615488	56.12	1	716	1.16	0.635	0.402	1.006	267.51	180.00	0.09	0	0.0000	31	4.3296	0	0	0	134	18.7151
scaffold_10	602005	56.19	1	775	1.29	0.583	0.372	1.095	249.32	159.00	0.14	0	0.0000	23	2.9677	0	0	0	162	20.9032
scaffold_11	576285	56.51	1	697	1.21	0.599	0.381	1.056	273.97	163.00	0.09	1	0.1435	19	2.7260	0	0	0	150	21.5208
scaffold_12	557114	56.30	1	720	1.29	0.565	0.369	0.832	260.47	175.00	0.13	0	0.0000	18	2.5000	0	0	0	147	20.4167
scaffold_13	539409	56.36	1	717	1.33	0.564	0.375	0.992	236.65	150.00	0.12	0	0.0000	19	2.6499	0	0	0	163	22.7336
scaffold_14	536484	56.44	1	735	1.37	0.522	0.357	1.168	267.41	172.00	0.16	0	0.0000	18	2.4490	0	0	0	147	20.0000
scaffold_15	532520	56.45	1	683	1.28	0.573	0.390	0.851	256.90	161.00	0.12	0	0.0000	21	3.0747	0	0	0	156	22.8404
scaffold_16	504426	55.63	1	661	1.31	0.564	0.348	0.944	251.19	157.00	0.13	0	0.0000	18	2.7231	0	0	0	142	21.4826
scaffold_17	484073	56.14	1	581	1.20	0.651	0.411	1.113	228.83	145.00	0.13	0	0.0000	11	1.8933	0	0	0	93	16.0069
