ID	LENGTH	GC	COVERAGE	ORF_COUNT	ORF_PER_KB	ORF_MEAN	ORF_MEDIAN	ORF_PLUS_STRAND_RATIO	INTERGENIC_MEAN	INTERGENIC_MEDIAN	FRACTION_OVERLAPPING_ORFS
scaffold_1	75205	59.58	1	43	0.57	1.179	0.510	1.867	373.50	373.50	0.07
scaffold_2	55330	60.42	1	54	0.98	0.734	0.321	1.077	262.00	262.00	0.15
scaffold_3	52426	61.03	1	36	0.69	0.917	0.655	0.636	411.00	411.00	0.00
scaffold_4	44560	59.58	1	31	0.70	0.922	0.309	0.722	238.00	238.00	0.03
scaffold_5	43744	66.48	1	19	0.43	1.612	1.149	0.727	545.00	545.00	0.00
scaffold_6	40294	52.55	1	31	0.77	0.923	0.471	1.583	294.00	294.00	0.03
scaffold_7	36619	64.48	1	19	0.52	1.393	0.957	2.167	216.00	216.00	0.00
scaffold_8	34091	61.22	1	17	0.50	1.423	1.059	0.889	459.00	459.00	0.00
scaffold_9	33902	56.93	1	35	1.03	0.738	0.342	0.944	195.00	195.00	0.14
scaffold_10	31998	63.44	1	23	0.72	1.016	0.450	1.091	218.50	218.50	0.04
scaffold_11	31973	65.78	1	13	0.41	1.275	0.624	1.600	326.00	326.00	0.00
scaffold_12	30955	53.70	1	19	0.61	1.279	0.465	0.900	286.50	286.50	0.05
scaffold_13	30467	64.16	1	25	0.82	0.822	0.588	0.471	355.00	355.00	0.04
scaffold_14	28872	61.31	1	26	0.90	0.810	0.279	0.733	186.00	186.00	0.12
scaffold_15	28251	61.37	1	37	1.31	0.564	0.378	0.682	152.00	152.00	0.14
scaffold_16	27801	62.48	1	36	1.29	0.610	0.304	1.400	112.50	112.50	0.17
scaffold_17	27320	63.26	1	27	0.99	0.742	0.351	0.800	251.00	251.00	0.30
scaffold_18	26166	66.23	1	11	0.42	1.769	1.704	0.375	315.00	315.00	0.09
scaffold_19	25843	64.61	1	14	0.54	1.273	0.815	1.333	533.00	533.00	0.07
scaffold_20	25551	61.67	1	18	0.70	0.688	0.504	0.500	565.50	565.50	0.00
scaffold_21	25385	61.75	1	26	1.02	0.593	0.341	0.300	313.50	313.50	0.15
scaffold_22	25213	63.20	1	16	0.63	0.922	0.642	0.455	528.00	528.00	0.06
scaffold_23	25095	66.67	1	12	0.48	1.477	1.163	1.000	508.00	508.00	0.08
scaffold_24	24473	67.07	1	12	0.49	1.291	1.023	1.000	660.00	660.00	0.08
scaffold_25	24432	59.73	1	15	0.61	1.091	1.056	1.143	378.00	378.00	0.13
scaffold_26	24395	59.22	1	18	0.74	0.841	0.615	0.800	494.00	494.00	0.06
scaffold_27	23991	63.01	1	20	0.83	0.897	0.519	1.000	316.00	316.00	0.05
scaffold_28	23192	64.44	1	10	0.43	1.786	1.663	1.000	485.00	485.00	0.10
scaffold_29	22712	61.57	1	28	1.23	0.607	0.384	1.000	129.00	129.00	0.14
scaffold_30	22446	61.54	1	17	0.76	0.825	0.594	0.889	643.50	643.50	0.06
scaffold_31	22282	69.72	1	13	0.58	1.157	0.750	1.600	522.00	522.00	0.15
