ID	LENGTH	GC	COVERAGE	ORF_COUNT	ORF_PER_KB	ORF_MEAN	ORF_MEDIAN	ORF_PLUS_STRAND_RATIO	INTERGENIC_MEAN	INTERGENIC_MEDIAN	FRACTION_OVERLAPPING_ORFS	NCLDV_HITS	NCLDV_PERCENT	NCVOG_HITS	NCVOG_PERCENT	CAPSID	RIBOSOMAL	MT	PFAM_HITS	PFAM_PERCENT
scaffold_1	30249	29.64	1	25	0.83	0.400	0.321	1.500	754.12	435.00	0.00	0	0.0000	1	4.0000	0	0	0	11	44.0000
scaffold_2	29948	30.77	1	26	0.87	0.367	0.264	1.167	759.88	401.50	0.00	0	0.0000	1	3.8462	0	0	0	5	19.2308
scaffold_3	27417	34.63	1	29	1.06	0.422	0.294	1.071	525.28	348.00	0.00	0	0.0000	0	0.0000	0	0	0	10	34.4828
scaffold_4	27196	33.22	1	30	1.10	0.503	0.280	0.875	432.04	290.00	0.07	0	0.0000	0	0.0000	0	0	0	10	33.3333
scaffold_5	27044	34.82	1	26	0.96	0.542	0.320	1.364	499.62	456.50	0.00	0	0.0000	0	0.0000	0	0	0	7	26.9231
scaffold_6	27036	30.50	1	18	0.67	0.539	0.348	0.800	952.11	900.50	0.00	0	0.0000	3	16.6667	0	0	0	7	38.8889
scaffold_7	27033	38.13	1	17	0.63	1.134	0.303	0.700	489.56	359.00	0.06	0	0.0000	1	5.8824	0	0	0	7	41.1765
scaffold_8	26336	33.84	1	18	0.68	0.587	0.279	1.000	878.28	482.00	0.00	0	0.0000	0	0.0000	0	0	0	2	11.1111
scaffold_9	25760	36.03	1	30	1.16	0.526	0.346	0.765	371.11	229.00	0.03	0	0.0000	0	0.0000	0	0	0	7	23.3333
scaffold_10	25678	34.94	1	16	0.62	0.822	0.480	0.778	760.27	696.00	0.00	0	0.0000	0	0.0000	0	0	0	5	31.2500
scaffold_11	25365	38.12	1	16	0.63	0.887	0.411	0.067	581.38	355.00	0.00	0	0.0000	1	6.2500	0	0	0	7	43.7500
scaffold_12	25251	34.55	1	17	0.67	0.935	0.432	1.125	548.29	300.00	0.00	0	0.0000	0	0.0000	0	0	0	2	11.7647
scaffold_13	24828	36.12	1	15	0.60	1.249	0.324	1.143	440.79	220.00	0.07	0	0.0000	0	0.0000	0	0	0	4	26.6667
scaffold_14	24426	33.42	1	24	0.98	0.467	0.341	1.000	600.86	410.00	0.08	0	0.0000	0	0.0000	0	0	0	6	25.0000
scaffold_15	23348	30.38	1	18	0.77	0.397	0.424	2.600	833.67	563.00	0.00	0	0.0000	0	0.0000	0	0	0	7	38.8889
scaffold_16	23331	31.91	1	20	0.86	0.480	0.357	0.538	774.11	544.00	0.00	0	0.0000	0	0.0000	0	0	0	6	30.0000
scaffold_17	23274	29.48	1	16	0.69	0.330	0.262	1.667	1126.50	649.00	0.00	0	0.0000	0	0.0000	0	0	0	2	12.5000
scaffold_18	23113	34.21	1	15	0.65	0.763	0.624	4.000	739.80	615.00	0.00	0	0.0000	1	6.6667	0	0	0	7	46.6667
scaffold_19	23010	30.61	1	24	1.04	0.381	0.237	1.182	533.08	247.50	0.00	0	0.0000	1	4.1667	0	0	0	7	29.1667
scaffold_20	22865	32.46	1	22	0.96	0.476	0.273	1.750	608.70	432.50	0.09	0	0.0000	0	0.0000	0	0	0	3	13.6364
scaffold_21	22846	34.21	1	9	0.39	1.510	0.324	0.800	1162.50	368.00	0.11	1	11.1111	1	11.1111	0	0	0	3	33.3333
scaffold_22	22752	28.80	1	19	0.84	0.285	0.234	0.900	959.72	564.50	0.05	0	0.0000	0	0.0000	0	0	0	3	15.7895
scaffold_23	22363	31.90	1	17	0.76	0.522	0.441	0.417	794.94	192.00	0.00	0	0.0000	0	0.0000	0	0	0	2	11.7647
scaffold_24	22136	33.10	1	26	1.17	0.477	0.273	0.529	391.48	175.00	0.00	0	0.0000	0	0.0000	0	0	0	8	30.7692
scaffold_25	22059	31.20	1	21	0.95	0.490	0.420	0.909	537.48	396.00	0.00	0	0.0000	2	9.5238	0	0	0	7	33.3333
scaffold_26	22007	31.23	1	15	0.68	0.548	0.285	0.500	875.47	594.00	0.00	0	0.0000	1	6.6667	0	0	0	2	13.3333
scaffold_27	20898	32.76	1	17	0.81	0.596	0.267	1.833	634.53	315.00	0.00	0	0.0000	1	5.8824	0	0	0	7	41.1765
scaffold_28	20809	32.32	1	13	0.62	0.713	0.498	3.333	686.77	198.00	0.00	0	0.0000	2	15.3846	0	0	0	7	53.8462
scaffold_29	20489	35.73	1	14	0.68	0.716	0.356	0.556	949.27	534.00	0.07	0	0.0000	0	0.0000	0	0	0	3	21.4286
scaffold_30	20476	35.55	1	15	0.73	0.762	0.333	0.667	648.93	352.00	0.07	0	0.0000	1	6.6667	0	0	0	9	60.0000
scaffold_31	20236	32.38	1	17	0.84	0.471	0.222	0.417	755.31	187.00	0.00	0	0.0000	0	0.0000	0	0	0	6	35.2941
scaffold_32	20004	33.85	1	15	0.75	0.755	0.363	0.364	580.80	324.00	0.00	0	0.0000	1	6.6667	0	0	0	6	40.0000
scaffold_33	20000	37.39	1	12	0.60	0.927	0.285	0.200	514.50	421.00	0.00	0	0.0000	0	0.0000	0	0	0	5	41.6667
scaffold_34	19765	29.45	1	17	0.86	0.388	0.339	2.400	828.56	662.00	0.00	0	0.0000	0	0.0000	0	0	0	6	35.2941
scaffold_35	19664	30.80	1	26	1.32	0.331	0.286	1.000	427.04	273.50	0.00	0	0.0000	3	11.5385	0	0	0	10	38.4615
scaffold_36	19605	31.06	1	11	0.56	0.634	0.396	1.200	1174.89	1160.00	0.09	0	0.0000	0	0.0000	0	0	0	4	36.3636
scaffold_37	19601	30.67	1	16	0.82	0.457	0.183	0.778	821.33	721.00	0.00	0	0.0000	0	0.0000	0	0	0	1	6.2500
scaffold_38	19541	31.60	1	15	0.77	0.449	0.237	2.000	848.93	649.00	0.00	0	0.0000	0	0.0000	0	0	0	7	46.6667
scaffold_39	19365	36.67	1	21	1.08	0.540	0.381	0.312	426.26	312.00	0.10	0	0.0000	0	0.0000	0	0	0	6	28.5714
scaffold_40	19163	28.94	1	16	0.83	0.403	0.283	0.231	867.43	304.00	0.06	0	0.0000	0	0.0000	0	0	0	0	0.0000
scaffold_41	19156	29.76	1	14	0.73	0.448	0.375	0.400	828.79	425.50	0.00	0	0.0000	0	0.0000	0	0	0	6	42.8571
scaffold_42	19070	31.86	1	11	0.58	0.627	0.390	0.833	1075.55	997.00	0.00	0	0.0000	0	0.0000	0	0	0	4	36.3636
scaffold_43	18924	37.80	1	15	0.79	0.740	0.549	0.250	513.53	411.00	0.00	0	0.0000	2	13.3333	0	0	0	5	33.3333
scaffold_44	18827	31.68	1	20	1.06	0.496	0.264	0.429	481.33	326.00	0.05	0	0.0000	2	10.0000	0	0	0	4	20.0000
scaffold_45	18714	30.92	1	13	0.69	0.493	0.387	0.625	807.08	673.00	0.00	0	0.0000	0	0.0000	0	0	0	3	23.0769
scaffold_46	18655	33.42	1	13	0.70	0.595	0.204	0.444	986.73	962.00	0.08	0	0.0000	0	0.0000	0	0	0	1	7.6923
scaffold_47	18534	33.06	1	20	1.08	0.356	0.247	2.333	605.53	243.00	0.05	0	0.0000	0	0.0000	0	0	0	5	25.0000
scaffold_48	18527	33.58	1	22	1.19	0.575	0.519	0.048	292.10	123.00	0.09	0	0.0000	0	0.0000	0	0	0	15	68.1818
scaffold_49	18385	31.78	1	17	0.92	0.410	0.333	2.400	641.35	464.00	0.00	0	0.0000	1	5.8824	0	0	0	6	35.2941
scaffold_50	18377	32.97	1	20	1.09	0.432	0.348	1.222	522.39	266.00	0.10	0	0.0000	0	0.0000	0	0	0	5	25.0000
scaffold_51	18308	28.67	1	15	0.82	0.355	0.216	1.143	929.79	517.50	0.00	0	0.0000	1	6.6667	0	0	0	6	40.0000
scaffold_52	18156	32.85	1	17	0.94	0.554	0.438	1.125	548.25	529.50	0.06	0	0.0000	0	0.0000	0	0	0	5	29.4118
scaffold_53	18124	36.20	1	16	0.88	0.682	0.355	1.000	395.75	196.00	0.00	0	0.0000	1	6.2500	0	0	0	3	18.7500
scaffold_54	18088	33.28	1	14	0.77	0.540	0.235	2.500	815.00	440.00	0.07	0	0.0000	1	7.1429	0	0	0	6	42.8571
