ID	LENGTH	GC	COVERAGE	ORF_COUNT	ORF_PER_KB	ORF_MEAN	ORF_MEDIAN	ORF_PLUS_STRAND_RATIO	INTERGENIC_MEAN	INTERGENIC_MEDIAN	FRACTION_OVERLAPPING_ORFS	NCLDV_HITS	NCLDV_PERCENT	NCVOG_HITS	NCVOG_PERCENT	CAPSID	RIBOSOMAL	MT	PFAM_HITS	PFAM_PERCENT
scaffold_1	151285	48.81	1	186	1.23	0.612	0.417	1.000	250.11	148.50	0.12	0	0.0000	5	2.6882	0	0	0	70	37.6344
scaffold_2	131639	48.88	1	179	1.36	0.472	0.342	1.419	297.59	187.00	0.06	0	0.0000	3	1.6760	0	0	0	36	20.1117
scaffold_3	129843	47.37	1	173	1.33	0.532	0.351	1.883	245.81	163.00	0.09	0	0.0000	2	1.1561	0	0	0	54	31.2139
scaffold_4	126420	47.39	1	157	1.24	0.601	0.414	1.181	240.18	156.00	0.11	0	0.0000	2	1.2739	0	0	0	44	28.0255
scaffold_5	116210	48.05	1	141	1.21	0.540	0.384	2.065	333.83	209.00	0.08	0	0.0000	3	2.1277	0	0	0	31	21.9858
scaffold_6	110738	48.40	1	137	1.24	0.603	0.456	0.930	240.36	119.00	0.08	0	0.0000	7	5.1095	0	0	0	39	28.4672
scaffold_7	107309	48.68	1	145	1.35	0.489	0.387	0.812	291.84	148.00	0.10	0	0.0000	4	2.7586	0	0	0	39	26.8966
scaffold_8	103614	48.16	1	143	1.38	0.519	0.396	0.833	244.19	158.00	0.12	0	0.0000	3	2.0979	0	0	0	37	25.8741
scaffold_9	102541	48.71	1	136	1.33	0.501	0.389	1.061	280.20	161.00	0.07	0	0.0000	5	3.6765	0	0	0	33	24.2647
scaffold_10	102046	47.49	1	129	1.26	0.584	0.333	1.304	242.18	145.00	0.10	0	0.0000	5	3.8760	0	0	0	43	33.3333
scaffold_11	102045	48.51	1	134	1.31	0.481	0.367	1.062	305.41	217.00	0.05	0	0.0000	0	0.0000	0	0	0	42	31.3433
scaffold_12	99688	47.05	1	143	1.43	0.411	0.306	1.072	333.91	233.00	0.13	0	0.0000	1	0.6993	0	0	0	35	24.4755
scaffold_13	99171	48.68	1	146	1.47	0.459	0.327	0.604	258.28	192.00	0.09	0	0.0000	3	2.0548	0	0	0	37	25.3425
scaffold_14	98082	47.91	1	121	1.23	0.531	0.414	0.921	315.92	215.00	0.07	0	0.0000	3	2.4793	0	0	0	20	16.5289
scaffold_15	96918	48.10	1	129	1.33	0.513	0.360	1.150	266.57	164.00	0.06	0	0.0000	3	2.3256	0	0	0	21	16.2791
scaffold_16	95028	48.15	1	119	1.25	0.489	0.351	1.245	356.05	204.00	0.08	0	0.0000	4	3.3613	0	0	0	18	15.1261
scaffold_17	94940	48.53	1	143	1.51	0.430	0.357	1.134	281.15	188.00	0.11	0	0.0000	4	2.7972	0	0	0	20	13.9860
scaffold_18	93064	46.76	1	133	1.43	0.437	0.333	0.847	305.78	184.50	0.10	1	0.7519	6	4.5113	0	0	0	26	19.5489
