VOG	Allma1	Allomyces_arbuscula_Burma_1F	Allomyces_javanicus_California_12	Anasp1	Batde5	Blabri1	Blyhe1	Blyttiomyces_sp	Boothiomyces_macroporosum_PLAUS21	Borealophlyctis_nickersoniae_WJD170	Caecom1	Catan2	Caupr1	Caupr_SCcomb	Chyhya1	Chylag1	Chytri1	Chytriomyces_hyalinus_ARG085	Chytriomyces_hyalinus_ARG121	Chytriomyces_hyalinus_JEL0117	Chytriomyces_hyalinus_JEL0176	Chytriomyces_hyalinus_JEL0345	Cladochytrium_tenue_C_tenue	Clapol1_1	Clarep1_1	Dinochytrium_kinnereticum_KLL_TL_06062013	Enthel1	Entophlyctis_luteolus_JEL0120	Entophlyctis_luteolus_JEL0129	Entophlyctis_sp	Fimjon1	Gaertneriomyces_sp	Gaesem1	Ganpr1	Geranomyces_michiganensis_JEL0563	Geranomyces_variabilis_JEL0379	Geranomyces_variabilis_JEL0389	Geranomyces_variabilis_JEL0566	Geranomyces_variabilis_JEL0567	Gervar1	Glopol1	Gorhay1	Hompol1	Hyacur1	Irineochytrium_annulatum_JEL0729	Kappamyces_sp	Lobulomyces_angularis_JEL0522	Lobulomyces_sp	Neosp1	Nowakowskiella_sp	Obemuc1	Orpsp1_1	Paranamyces_uniporus_JEL0695	Paraphysoderma_sedebokerense_JEL0847	Parsed1	Phlyctochytrium_bullatum_JEL0754	Phlyctochytrium_planicorne_JEL0388	Physocladia_obscura_JEL0513	PirE2_1	Pirfi3	Podochytrium_sp	Polagg1_1	Powhir1	Quaeritorhiza_haematococci_JEL0916	Rhihy1	Rhizoclosmatium_hyalinus_JEL0917	Rhizophlyctis_rosea_JEL0318	Rhizophlyctis_rosea_JEL0764	Rhizophydium_sp	Siphonaria_sp	SmithFen_BAUOG	Spipu1	Thoreauomyces_humboldtii_JEL0095	Triarc1	Unknown_unknown_JEL0888
NCVOG0001	1.3e-20	1.1e-16	1.1e-20	3.4e-24	1.1e-11	1.1e-15	1.4e-12		1.1e-17	1.4e-25	1.1e-16	1.2e-24	1.1e-31	1.3e-44	1.4e-32	1.4e-36	1.2e-25	1.2e-12	1.2e-26	1.1e-13	1.2e-33	1.2e-14	1.1e-22	1.1e-16	1.3e-33	1.1e-13	1.1e-19		1.3e-16	1.1e-11	1.2e-11	1.2e-16	1.1e-36	1.7e-12	1.3e-17	1.1e-34	1.1e-15	1.2e-22	1.2e-26	1.1e-24	1.6e-30	1.2e-25	1.1e-17	1.2e-11	1.1e-42	1.2e-12	1.5e-22	1.1e-26	1.3e-11	1.1e-23	1.5e-13	1.2e-19	1.2e-24	1.3e-23	1.1e-27	1.2e-17	1.1e-23	1.1e-24	1.1e-14	1.1e-12	1.1e-12	1.1e-18	1.2e-18	1.1e-45	1.1e-25	1.1e-39	1.4e-11	1.3e-14	1.1e-11	1.2e-12		1.3e-12	1.6e-11	1.3e-15	1.1e-11
NCVOG0002				1.1e-11	2.3e-40		2.3e-34		5.7e-13	1.6e-37			1.5e-32	5.5e-39	1e-28	1.5e-18	3.7e-36	2.6e-11	1.5e-11	2.1e-11	2.7e-32	2.6e-12	2.7e-31	1.1e-35	1.3e-30	2.5e-17	1.5e-11		1.2e-48	1.6e-46	1.5e-33	1.6e-36	1.7e-16	8.2e-15	1.4e-28	2.9e-27	3.8e-30	1.7e-27	1.3e-29	1.7e-29	1.5e-26	1.9e-30	6.1e-26	1.8e-17	2.4e-36	4.8e-44	2.7e-23	1.2e-24		4.2e-30	3.4e-34		1.7e-34	1.1e-21		3.1e-19	1.3e-17	1.9e-31	1.3e-13	1.4e-23	4.5e-24	1e-46	1.8e-28		1.5e-25	1.2e-12	1.3e-37	1.2e-37	1.1e-43	1.9e-23		1.1e-36	2.3e-38	1.9e-32	1.5e-20
NCVOG0004															2.6e-15		3.9e-18	2.6e-13	1.2e-13	2.7e-21	2.1e-13	1.2e-13							2.2e-21	8.8e-20		2.5e-17	6.2e-20		1.5e-17	1e-16	3.4e-15	9.7e-15	9.6e-15	1.4e-17				3.3e-16	2.5e-15						5.3e-15		2.8e-14			2.1e-19		1.9e-21			1.5e-20		1.1e-18		1.8e-14	2.2e-21				1.2e-31		1.4e-16		3.3e-15	
NCVOG0005			1.1e-11			5e-11			9.6e-12	5.8e-12		1.5e-15								2.2e-13			2.7e-12			7.7e-13	1.8e-18			3e-12	4.5e-13	1e-17	1.2e-17		4.5e-11		2.4e-11	3.3e-11		2.2e-12	1.9e-15	1.5e-14		6.2e-14	1.5e-14	2.8e-12							1.4e-12	2.9e-15		6.9e-14					1.7e-24	1.2e-11		1.4e-11	5.6e-11	2.2e-11	2e-11	3.7e-11	1.3e-14				3.3e-15		1.8e-11
NCVOG0006																																1.3e-14																																											
NCVOG0007	1e-33	1.2e-32	1.7e-32	1.6e-37	5.6e-28	4.9e-26	1.3e-22		2.3e-22	2.1e-30	2.2e-36	1.3e-31	7e-35	5.9e-34			2e-24			6.1e-11			2.4e-28	2.3e-37	1.9e-21	2.4e-13	4.4e-30				6.8e-33	3.9e-36	8.4e-46	7.9e-11	3.5e-28	4.3e-27	2.7e-28	2.5e-28	1.3e-26	1.9e-29	1.6e-25	2e-37		7.6e-14		3.1e-12	1.4e-13	3e-13	6.1e-37	1.9e-15	5.7e-27	1.3e-37	2.6e-26	2.7e-24	6.6e-11	2e-15		1.1e-13	1.1e-36	1.4e-36	5.3e-11	1.8e-25	2.2e-29	1.6e-55	7.6e-11	2.3e-16	1.1e-31	3.4e-31	1.4e-11	2.5e-53		5e-30	7.2e-29	9.4e-31	1.7e-56
NCVOG0008										3.9e-11																																						1.1e-12		2.9e-11								1.1e-16									1.4e-17						1.1e-12		
NCVOG0010																																																																7.1e-11											
NCVOG0011				3.6e-12																																																																							
NCVOG0012	1.1e-11	1.1e-11		1.2e-11	1.1e-21			1.5e-23	1.4e-12			1.1e-11	1.1e-11		1.1e-12	1.1e-11	1.1e-11	1.4e-12	1.7e-11		2.5e-11	1.1e-11		1.1e-11	1.1e-11		1.1e-11	2.2e-12	1.1e-11	1.1e-11	1.1e-13	1.2e-20	1.1e-11	1.1e-11	1.6e-11	1.7e-13	1.1e-12	2.2e-11	1.5e-12	1.1e-13	1.1e-13	1.2e-14	1.2e-11				1.8e-12	1.1e-13	1.1e-25		1.1e-12		1.2e-12	1.1e-11	1.1e-17	5.8e-11			1.1e-11	1.1e-11		1.1e-11	1.1e-11		1.1e-11			3.9e-11	1.1e-11		1.1e-11	1.2e-14		1.1e-12	
