VOG	Batrachochytrium_dendrobatidis_JAM81_v1.0	Ccinerea	Celegans	Dmelanogaster	Hsapiens	NcrassaOR74A	Pblakesleeanus	ScerevisiaeS288c
NCVOG0001	scaffold_1	AACS02000011				CM002240	PblaNRRL1555-_SC35	BK006936
NCVOG0002	scaffold_9	AACS02000002	IV			CM002239	PblaNRRL1555-_SC01	BK006949
NCVOG0004			II			CM002236		BK006944
NCVOG0005	scaffold_7		V	2R		CM002240	PblaNRRL1555-_SC04	BK006941
NCVOG0007	scaffold_9	AACS02000004	V			CM002240	PblaNRRL1555-_SC05	BK006944
NCVOG0009				2R				
NCVOG0012	scaffold_12	AACS02000012	III			CM002241	PblaNRRL1555-_SC11	BK006945
NCVOG0013	scaffold_3						PblaNRRL1555-_SC18	
NCVOG0014	scaffold_3						PblaNRRL1555-_SC18	
NCVOG0015	scaffold_3						PblaNRRL1555-_SC18	
NCVOG0017	scaffold_16	AACS02000002	III	3L		CM002242		BK006945
NCVOG0018						CM002240	PblaNRRL1555-_SC26	BK006948
NCVOG0020		AACS02000005	IV	2L		CM002240	PblaNRRL1555-_SC17	BK006949
NCVOG0021	scaffold_5	AACS02000026				CM002236	PblaNRRL1555-_SC40	BK006948
NCVOG0025	scaffold_10	AACS02000009				CM002236	PblaNRRL1555-_SC31	BK006944
NCVOG0029	scaffold_5	AACS02000010	III	3R		CM002236	PblaNRRL1555-_SC23	BK006946
NCVOG0030	scaffold_10	AACS02000012	IV	3R		CM002237	PblaNRRL1555-_SC10	BK006943
NCVOG0031							PblaNRRL1555-_SC03	
NCVOG0032	scaffold_4	AACS02000002	IV			CM002239	PblaNRRL1555-_SC43	BK006936
NCVOG0033						CM002238		
NCVOG0036	scaffold_7	AACS02000003	I	X		CM002236	PblaNRRL1555-_SC15	BK006948
NCVOG0037	scaffold_1	AACS02000001	III	2L		CM002239	PblaNRRL1555-_SC02	BK006947
NCVOG0038		AACS02000008				CM002240		BK006938
NCVOG0040				3R			PblaNRRL1555-_SC02	
NCVOG0046	scaffold_1	AACS02000002	III	3L		CM002239	PblaNRRL1555-_SC04	BK006947
NCVOG0052	scaffold_45	AACS02000007				CM002242		BK006941
NCVOG0055	scaffold_10		IV	2L				
NCVOG0059			II				PblaNRRL1555-_SC03	
NCVOG0061	scaffold_8	AACS02000002				CM002240	PblaNRRL1555-_SC35	BK006949
NCVOG0063			V					BK006940
NCVOG0064	scaffold_4	AACS02000005		3L		CM002239	PblaNRRL1555-_SC08	BK006935
NCVOG0065			V					
NCVOG0066	scaffold_16							
NCVOG0070		AACS02000006	II			CM002236	PblaNRRL1555-_SC05	BK006944
NCVOG0071								BK006949
NCVOG0073	scaffold_1	AACS02000010	II	3R		CM002241	PblaNRRL1555-_SC02	BK006939
NCVOG0074	scaffold_1	AACS02000010	II	3R		CM002239	PblaNRRL1555-_SC40	BK006935
NCVOG0077	scaffold_40					CM002237	PblaNRRL1555-_SC06	BK006934
NCVOG0078	scaffold_1	AACS02000009				CM002242	PblaNRRL1555-_SC23	BK006938
NCVOG0105	scaffold_18		I	2L		CM002242	PblaNRRL1555-_SC28	BK006934
NCVOG0117	scaffold_5	AACS02000005				CM002241	PblaNRRL1555-_SC03	BK006944
NCVOG0158		AACS02000003						BK006944
NCVOG0165		AACS02000002						
