VOG	Allomyces_arbuscula_Burma_1F	Allomyces_javanicus_California_12	Allomyces_macrogynus_ATCC_38327	Anaeromyces_robustus_v1.0	Batrachochytrium_dendrobatidis_JAM81_v1.0	Blastocladiella_britannica_v1.0	Blyttiomyces_helicus_single-cell_v1.0	Blyttiomyces_sp	Boothiomyces_macroporosum_PLAUS21	Borealophlyctis_nickersoniae_WJD170	Caecomyces_churrovis_A_v1.0	Catenaria_anguillulae_PL171_v2.0	Caulochytrium_protostelioides_ATCC_52028_single-cell_v1.0	Caulochytrium_protostelioides_ATCC_52028_v1.0	Chytridium_lagenaria_Arg66_v1.0	Chytriomyces_hyalinus_ARG085	Chytriomyces_hyalinus_ARG121	Chytriomyces_hyalinus_JEL0117	Chytriomyces_hyalinus_JEL0176	Chytriomyces_hyalinus_JEL0345	Chytriomyces_hyalinus_JEL632_v1.0	Chytriomyces_sp._MP_71_v1.0	Cladochytrium_polystomum_WB228_v1.0	Cladochytrium_replicatum_JEL714_v1.0	Cladochytrium_tenue_C_tenue	Dinochytrium_kinnereticum_KLL_TL_06062013	Entophlyctis_helioformis_JEL805_v1.0	Entophlyctis_luteolus_JEL0120	Entophlyctis_luteolus_JEL0129	Entophlyctis_sp	Fimicolochytrium_jonesii_JEL569_v1.0	Gaertneriomyces_semiglobifer_Barr_43_v1.0	Gaertneriomyces_sp	Geranomyces_michiganensis_JEL0563	Geranomyces_variabilis_JEL0379	Geranomyces_variabilis_JEL0389	Geranomyces_variabilis_JEL0566	Geranomyces_variabilis_JEL0567	Geranomyces_variabilis_JEL559_v1.0	Globomyces_pollinis-pini_Arg68_v1.0	Gonapodya_prolifera_v1.0	Gorgonomyces_haynaldii_MP57_v1.0	Homolaphlyctis_polyrhiza_JEL142_v1.0	Hyaloraphidium_curvatum_SAG235-1_v1.0	Irineochytrium_annulatum_JEL0729	Kappamyces_sp	Lobulomyces_angularis_JEL0522	Lobulomyces_sp	Neocallimastix_californiae_G1_v1.0	Nowakowskiella_sp	Obelidium_mucronatum_JEL802_v1.0	Paranamyces_uniporus_JEL0695	Paraphysoderma_sedebokerense_JEL0847	Paraphysoderma_sedebokerense_JEL821_v1.0	Pecoramyces_ruminatium_C1A	Phlyctochytrium_bullatum_JEL0754	Phlyctochytrium_planicorne_JEL0388	Physocladia_obscura_JEL0513	Piromyces_finnis_v3.0	Piromyces_sp._E2_v1.0	Podochytrium_sp	Polychytrium_aggregatum_JEL109_v1.0	Powellomyces_hirtus_BR81_v1.0	Quaeritorhiza_haematococci_JEL0916	Rhizoclosmatium_globosum_JEL800_v1.0	Rhizoclosmatium_hyalinus_JEL0917	Rhizophlyctis_rosea_JEL0318	Rhizophlyctis_rosea_JEL0764	Rhizophydium_sp	Siphonaria_sp	SmithFen_BAUOG	Spizellomyces_punctatus_DAOM_BR117	Thoreauomyces_humboldtii_JEL0095	Triparticalcar_arcticum_BR59_v1.0	Unknown_unknown_JEL0888
NCVOG0001	NODE_7_length_435234_cov_21.086134	NODE_1723_length_6807_cov_16.754532	Supercontig_45	scaffold_57	scaffold_6	scaffold_276	NODE_4298		NODE_3030_length_1221_cov_187.666958	NODE_2110_length_5124_cov_15.456311	scaffold_429	scaffold_102	scaffold_1876	scaffold_13	scaffold_4	NODE_9_length_229137_cov_12.284406	NODE_395_length_22496_cov_10.643115	NODE_29813_length_395_cov_9.088050	NODE_15_length_176716_cov_5.124915	NODE_1_length_439945_cov_6.497974	scaffold_37	scaffold_6	scaffold_221	scaffold_149	NODE_542_length_12068_cov_31.598532	NODE_122_length_58897_cov_5.505797	scaffold_3		NODE_127_length_66722_cov_9.698027	NODE_408_length_17931_cov_4.487314	scaffold_5	scaffold_25	NODE_10_length_606720_cov_15.156248	NODE_38_length_218831_cov_12.592606	NODE_108_length_69069_cov_13.762755	NODE_40_length_194791_cov_38.072553	NODE_15_length_355712_cov_22.253265	NODE_19_length_490193_cov_22.484899	scaffold_27	scaffold_172	scaffold_56	scaffold_14	scaffold_722	scaffold_5	NODE_936_length_12473_cov_20.071152	NODE_354_length_8544_cov_25.571867	NODE_29_length_142903_cov_13.240551	NODE_137_length_28406_cov_85.072541	scaffold_46	NODE_62_length_130246_cov_8.645868	scaffold_57	NODE_957_length_10397_cov_4.752810	NODE_792_length_5141_cov_24.430885	scaffold_80	c_7180000092239	NODE_180_length_48174_cov_5.869703	NODE_13_length_297104_cov_9.329505	NODE_17_length_39695_cov_17.785451	scaffold_10	scaffold_413	NODE_8805_length_617_cov_5.074074	scaffold_1	scaffold_34	NODE_290_length_24515_cov_33.061789	scaffold_73	NODE_14390_length_692_cov_9.295935	NODE_485_length_21861_cov_46.199688	NODE_28_length_220770_cov_5.772440	NODE_726_length_5726_cov_25.100372	NODE_1224_length_12187_cov_3.976548		Supercontig_2	NODE_261_length_26521_cov_37.646309	scaffold_3	NODE_2816_length_5024_cov_21.025470
NCVOG0002				scaffold_773	scaffold_3		NODE_1066		NODE_131_length_7957_cov_202.150127	NODE_14_length_70624_cov_15.199030			scaffold_3	scaffold_88	scaffold_9	NODE_2101_length_1524_cov_20.727021	NODE_4595_length_398_cov_24.006231	NODE_45176_length_290_cov_11.732394	NODE_275_length_30924_cov_4.958213	NODE_2175_length_1495_cov_13.020451	scaffold_6	scaffold_166	scaffold_633	scaffold_137	NODE_924_length_7812_cov_26.232450	NODE_56_length_86787_cov_6.038323	scaffold_21		NODE_131_length_63684_cov_9.536639	NODE_4_length_222642_cov_4.602417	scaffold_17	scaffold_5	NODE_16_length_450817_cov_16.521134	NODE_38_length_218831_cov_12.592606	NODE_26_length_229228_cov_13.736925	NODE_3_length_959961_cov_36.961272	NODE_15_length_355712_cov_22.253265	NODE_22_length_445026_cov_22.503606	scaffold_43	scaffold_397	scaffold_4	scaffold_12	scaffold_588	scaffold_22	NODE_1126_length_10551_cov_16.537617	NODE_1265_length_2629_cov_32.807602	NODE_18_length_176137_cov_8.094211	NODE_193_length_23849_cov_102.314530		NODE_299_length_11573_cov_24.792711	scaffold_272	NODE_5_length_288254_cov_5.750504	NODE_1152_length_3351_cov_27.923030			NODE_80_length_64385_cov_6.374697	NODE_41_length_173560_cov_9.216227	NODE_1398_length_9383_cov_14.851279	scaffold_43	scaffold_844	NODE_24_length_57270_cov_5.380485	scaffold_106	scaffold_22		scaffold_10	NODE_19681_length_494_cov_9.623501	NODE_96_length_48301_cov_57.981482	NODE_114_length_112253_cov_5.991968	NODE_7_length_184951_cov_24.843185	NODE_4710_length_881_cov_5.868159		Supercontig_4	NODE_1017_length_7995_cov_28.620738	scaffold_2	NODE_8090_length_2051_cov_66.434650
NCVOG0004																NODE_14_length_211452_cov_8.980632	NODE_15_length_211878_cov_10.410550	NODE_3516_length_2247_cov_7.285253	NODE_10_length_198017_cov_7.500000	NODE_6_length_275327_cov_6.543969	scaffold_68	scaffold_1080							NODE_252_length_34311_cov_9.415581	NODE_22_length_139648_cov_4.596736		scaffold_33	NODE_6_length_802021_cov_15.519641	NODE_2_length_699377_cov_12.543642	NODE_4_length_453383_cov_14.078176	NODE_15_length_589584_cov_37.775908	NODE_19_length_322648_cov_22.464124	NODE_12_length_577205_cov_22.723553	scaffold_7					scaffold_1	NODE_54_length_59536_cov_9.673170						scaffold_94	NODE_753_length_15057_cov_3.389453				NODE_1011_length_10945_cov_5.188443		NODE_50_length_29658_cov_18.345391			NODE_491_length_16545_cov_5.626488		scaffold_3		scaffold_55	NODE_1009_length_3597_cov_6.129261				NODE_1954_length_7042_cov_4.157789		Supercontig_17		scaffold_35	
NCVOG0005		NODE_35_length_63869_cov_27.035443				scaffold_208			NODE_11346_length_467_cov_232.656410	NODE_768_length_14495_cov_15.423915		scaffold_9						NODE_5544_length_1731_cov_6.106409							NODE_109_length_25395_cov_28.908563	NODE_132_length_55846_cov_5.470279	scaffold_91			NODE_58_length_90036_cov_4.338521	scaffold_12	scaffold_1	NODE_4_length_1027564_cov_15.664503	NODE_3_length_607984_cov_12.710118		NODE_2_length_1046662_cov_36.997729	NODE_13_length_370313_cov_22.300857		scaffold_60	scaffold_131		scaffold_3		scaffold_16	NODE_1280_length_9219_cov_18.880114	NODE_4218_length_809_cov_23.867486						NODE_94_length_93774_cov_5.698902	NODE_3747_length_978_cov_23.159822			NODE_366_length_32887_cov_5.823255					NODE_658_length_13034_cov_5.803272	scaffold_126		NODE_816_length_14317_cov_29.980969	scaffold_2	NODE_3910_length_1861_cov_9.276906	NODE_205_length_35208_cov_48.611170	NODE_200_length_74375_cov_5.834693	NODE_5_length_204515_cov_25.238013				NODE_8_length_79474_cov_36.970414		NODE_2991_length_4810_cov_28.549546
NCVOG0006																																	NODE_1120_length_253_cov_3.318182																																										
NCVOG0007	NODE_5_length_515902_cov_20.459836	NODE_172_length_27348_cov_17.918375	Supercontig_4	scaffold_571	scaffold_9	scaffold_732	NODE_8026		NODE_5226_length_847_cov_151.338961	NODE_332_length_24182_cov_14.107737	scaffold_1798	scaffold_34	scaffold_8	scaffold_194				NODE_17104_length_650_cov_11.125654				scaffold_163	scaffold_263	scaffold_38	NODE_2766_length_1744_cov_16.239352	NODE_11_length_147798_cov_6.063850	scaffold_115				scaffold_15	scaffold_18	NODE_14_length_557804_cov_15.796300	NODE_14_length_391342_cov_12.438537	NODE_68_length_128748_cov_13.637898	NODE_40_length_194791_cov_38.072553	NODE_20_length_310532_cov_22.396599	NODE_30_length_312629_cov_22.718354	scaffold_24	scaffold_44	scaffold_4	scaffold_12		scaffold_30		NODE_1363_length_2391_cov_24.088159	NODE_82_length_88011_cov_6.853401	NODE_1_length_88318_cov_81.767387	scaffold_205	NODE_3729_length_1635_cov_40.116175	scaffold_244	NODE_34_length_165600_cov_5.765070	NODE_490_length_7544_cov_25.930628	scaffold_21	c_7180000083426	NODE_313_length_36279_cov_5.758328		NODE_1312_length_9772_cov_16.798762	scaffold_16	scaffold_110	NODE_42_length_50148_cov_5.082669	scaffold_63	scaffold_17	NODE_3771_length_3386_cov_25.477183	scaffold_114	NODE_16590_length_598_cov_10.765835	NODE_1593_length_7233_cov_48.956121	NODE_702_length_9436_cov_4.671653	NODE_39527_length_230_cov_4.091503	NODE_277_length_30219_cov_4.008692		Supercontig_11	NODE_1713_length_2704_cov_28.782642	scaffold_2	NODE_5615_length_3028_cov_36.637750
NCVOG0008										NODE_12825_length_186_cov_14.045872																																						NODE_4391_length_394_cov_13.271293		NODE_10662_length_579_cov_22.729084								NODE_126_length_23675_cov_18.635986									NODE_71_length_53168_cov_57.189316						NODE_333_length_22492_cov_37.569217		
NCVOG0010																																																																NODE_9558_length_545_cov_49.096154											
NCVOG0011				scaffold_33																																																																							
NCVOG0012	NODE_77_length_108380_cov_21.097477		Supercontig_1	scaffold_28	scaffold_2			NODE_300_length_155_cov_421.448718	NODE_23_length_57557_cov_196.356976			scaffold_389		scaffold_268	scaffold_119	NODE_457_length_16080_cov_9.024995	NODE_8_length_243513_cov_10.297969		NODE_97_length_68037_cov_4.919408	NODE_485_length_7807_cov_5.963131	scaffold_273	scaffold_240	scaffold_332	scaffold_22			scaffold_384	NODE_8_length_19604_cov_41.695761	NODE_14265_length_155_cov_4.012821	NODE_5555_length_232_cov_0.722581	scaffold_9	scaffold_11	NODE_38_length_136462_cov_14.617989	NODE_2529_length_144_cov_7.194030	NODE_4_length_453383_cov_14.078176	NODE_7_length_855419_cov_36.795681	NODE_37_length_229184_cov_22.633893	NODE_38_length_231326_cov_22.362838	scaffold_5	scaffold_125	scaffold_88	scaffold_16	scaffold_533				NODE_7972_length_100_cov_5.652174	NODE_6221_length_153_cov_464.486842	scaffold_47		scaffold_15	NODE_1314_length_6407_cov_3.421285	NODE_953_length_4199_cov_17.281659	scaffold_5		NODE_624_length_21606_cov_5.635857			scaffold_20	scaffold_874		scaffold_46	scaffold_9		scaffold_17			NODE_1360_length_1207_cov_2.272566	NODE_13185_length_656_cov_5.911917		NODE_16	Supercontig_7		scaffold_8	
