NCLDV_gene	ARG085	Burma_1F	CCIBt4013	CIRM-AVA-1-Amber	CIRM-AVA-1-Meiospore	CIRM-AVA-1-Orange	California_12	JEL0065	JEL0095	JEL0112	JEL0117	JEL0120	JEL0129	JEL0176	JEL0318	JEL0345	JEL0379	JEL0388	JEL0389	JEL0407	JEL0476	JEL0513	JEL0522	JEL0563	JEL0566	JEL0567	JEL0680	JEL0695	JEL0708	JEL0728	JEL0729	JEL0754	JEL0764	JEL0774	JEL0797	JEL0801	JEL0829	JEL0837	JEL0838	JEL0842	JEL0847	JEL0866	JEL0888	JEL0916	JEL0917	KLL_TL_06062013	PLAUS21	WJD170
capsid		5.2e-141 (2 hits)					7.7e-139 (7 hits)	1.2e-74 (3 hits)								5.7e-140 (2 hits)																	1.6e-52 (1 hits)	2.8e-69 (5 hits)	6.1e-32 (1 hits)									1.5e-102 (14 hits)				
capsid-polinto		1.9e-111 (2 hits)					4.9e-107 (8 hits)	2.9e-51 (4 hits)								7.8e-110 (2 hits)																	8.4e-32 (1 hits)	3.5e-67 (5 hits)										1.2e-95 (11 hits)				
dnapol	6.9e-36 (4 hits)	4.8e-221 (13 hits)	5.1e-26 (6 hits)	8.8e-208 (10 hits)	3e-208 (9 hits)	2.1e-128 (10 hits)	3.7e-215 (26 hits)	1e-58 (18 hits)	1.9e-129 (9 hits)	7.3e-33 (6 hits)	2e-22 (16 hits)		7.6e-33 (6 hits)	6.6e-36 (5 hits)	2.4e-20 (13 hits)	4.4e-169 (16 hits)	1e-136 (10 hits)	5.1e-27 (5 hits)	7.3e-130 (8 hits)	2.8e-13 (6 hits)	1e-98 (12 hits)	9.6e-44 (7 hits)	4.3e-147 (6 hits)	2.7e-136 (9 hits)	2.9e-130 (8 hits)	8.8e-130 (8 hits)	4.3e-96 (9 hits)	2.4e-105 (12 hits)	4.4e-220 (12 hits)	1.6e-78 (16 hits)	6.4e-40 (8 hits)	3e-24 (5 hits)	5.1e-99 (10 hits)	4.8e-122 (16 hits)	3.4e-58 (13 hits)	2.9e-55 (13 hits)	4e-175 (15 hits)		2.8e-51 (11 hits)	2.4e-33 (8 hits)	5.5e-133 (16 hits)	5.3e-133 (16 hits)	7.7e-35 (10 hits)	1e-182 (11 hits)	4.8e-45 (21 hits)	1.3e-35 (5 hits)	5.8e-54 (14 hits)	7.6e-27 (11 hits)
pATPase		1.5e-70 (7 hits)					3.4e-73 (36 hits)		3.2e-15 (18 hits)					3e-11 (1 hits)	4e-18 (26 hits)	3.3e-64 (3 hits)	1e-12 (2 hits)		2.5e-13 (3 hits)						5e-15 (8 hits)	6e-15 (3 hits)			2.5e-14 (6 hits)	2e-21 (4 hits)			3.4e-19 (24 hits)	5.5e-60 (3 hits)					4.2e-22 (10 hits)		1.4e-23 (6 hits)	1.4e-23 (6 hits)		6e-16 (1 hits)				9.1e-18 (72 hits)
pATPase-polinto		2.4e-67 (7 hits)					7.4e-69 (41 hits)		1e-17 (33 hits)					1.6e-09 (2 hits)	1.1e-21 (32 hits)	2.6e-60 (3 hits)	1.4e-14 (2 hits)		2.5e-16 (5 hits)						4.1e-16 (8 hits)	7.1e-15 (3 hits)			7e-17 (8 hits)	1e-25 (4 hits)			7e-22 (26 hits)	2.8e-58 (4 hits)					1.1e-24 (10 hits)		1.8e-28 (6 hits)	1.8e-28 (6 hits)		1.1e-14 (1 hits)				8.3e-20 (73 hits)
primase		9e-99 (4 hits)	6.9e-10 (1 hits)	1.1e-18 (2 hits)	2.5e-21 (1 hits)	8.7e-21 (1 hits)	2.5e-96 (21 hits)	2.3e-49 (13 hits)	1.7e-88 (31 hits)	9.9e-77 (3 hits)	9.3e-92 (5 hits)		2.3e-76 (3 hits)	7.4e-60 (4 hits)	1.9e-92 (50 hits)	3.6e-93 (79 hits)	8.8e-95 (7 hits)		2.2e-95 (13 hits)		1.2e-60 (10 hits)	6.4e-59 (22 hits)	1.2e-58 (5 hits)	5.7e-94 (7 hits)	6.4e-54 (6 hits)	5.2e-94 (7 hits)			4.3e-85 (4 hits)			7.5e-21 (2 hits)	3.6e-94 (41 hits)	4.2e-95 (42 hits)	3.5e-84 (6 hits)		6.4e-90 (1 hits)		1.1e-67 (5 hits)		8.1e-83 (11 hits)	7.8e-83 (13 hits)		1.7e-118 (272 hits)	7.9e-99 (4 hits)	5.4e-11 (1 hits)	2.4e-13 (2 hits)	1.8e-79 (67 hits)
rnapol1	9.5e-146 (24 hits)	8.8e-211 (24 hits)	4.9e-88 (38 hits)	1.2e-300 (39 hits)	4.2e-301 (14 hits)	1.3e-248 (16 hits)	5.5e-211 (54 hits)	7.5e-114 (54 hits)	8.2e-181 (19 hits)	2.2e-144 (40 hits)	1.3e-90 (31 hits)		2.3e-144 (38 hits)	9.2e-146 (19 hits)	3.7e-256 (20 hits)	0.0 (36 hits)	3.5e-187 (27 hits)	1.5e-154 (19 hits)	1.2e-190 (24 hits)	1.1e-106 (26 hits)	9.6e-97 (23 hits)	1.3e-144 (23 hits)	7.3e-124 (22 hits)	7.1e-187 (25 hits)	6.4e-186 (24 hits)	5.9e-186 (25 hits)	1.1e-259 (22 hits)	3.3e-260 (40 hits)	1.4e-302 (24 hits)	4.9e-266 (39 hits)	2.3e-142 (24 hits)	2.7e-131 (26 hits)	1.8e-254 (29 hits)	1.3e-126 (34 hits)	1.4e-65 (19 hits)	2.8e-86 (31 hits)	5.6e-260 (24 hits)		1.9e-258 (22 hits)	2.5e-148 (22 hits)	5e-260 (30 hits)	4.8e-260 (30 hits)	3e-291 (19 hits)	2.6e-260 (56 hits)	6.3e-52 (38 hits)	1.6e-144 (22 hits)	2e-95 (35 hits)	3.7e-265 (17 hits)
rnapol2	3.3e-106 (23 hits)	0.0 (8 hits)	9.5e-115 (34 hits)	0.0 (34 hits)	0.0 (17 hits)	3.7e-276 (14 hits)	0.0 (9 hits)	1.6e-109 (45 hits)	1.6e-129 (16 hits)	6.2e-89 (21 hits)	7.5e-110 (33 hits)		6.5e-89 (21 hits)	4.2e-106 (24 hits)	1.2e-72 (30 hits)	2.3e-110 (19 hits)	9.6e-148 (17 hits)	1.9e-98 (19 hits)	7.8e-148 (14 hits)	8.1e-65 (33 hits)	3.6e-145 (23 hits)	9.9e-109 (17 hits)	2.9e-145 (22 hits)	2.5e-168 (18 hits)	5.1e-168 (15 hits)	9.5e-148 (16 hits)	1.4e-175 (14 hits)	4.2e-151 (32 hits)	3.8e-144 (17 hits)	3.2e-125 (35 hits)	1.1e-145 (24 hits)	1.5e-69 (19 hits)	1.3e-84 (24 hits)	5.8e-114 (16 hits)	3.5e-110 (10 hits)	5.2e-52 (31 hits)	6.8e-176 (15 hits)		1.9e-240 (14 hits)	7.5e-146 (19 hits)	1e-236 (18 hits)	9.7e-237 (17 hits)	8.5e-261 (11 hits)	1.1e-157 (26 hits)	4e-108 (27 hits)	1.1e-67 (15 hits)	1.7e-241 (20 hits)	9.5e-68 (16 hits)
tf2s		6.8e-19 (5 hits)	3.3e-13 (1 hits)	4.5e-18 (1 hits)	1.6e-18 (1 hits)	9.4e-19 (1 hits)	1.7e-17 (8 hits)	2.1e-21 (2 hits)	4.3e-10 (1 hits)	4.3e-20 (1 hits)	5.6e-20 (1 hits)					2.1e-20 (2 hits)		3.1e-13 (2 hits)	3.8e-11 (1 hits)	5.5e-13 (2 hits)	1.7e-12 (2 hits)		1.4e-12 (3 hits)		1.1e-09 (1 hits)	2.3e-11 (4 hits)	1.3e-12 (5 hits)	3.6e-11 (2 hits)	6e-14 (3 hits)	1.4e-21 (2 hits)	4.9e-12 (2 hits)			1.8e-20 (2 hits)	1.3e-18 (1 hits)	6.9e-13 (1 hits)	6.8e-13 (3 hits)		2.2e-22 (1 hits)	1.7e-12 (1 hits)	1.1e-10 (3 hits)	2.6e-22 (2 hits)	3.7e-16 (3 hits)	2.9e-11 (2 hits)	4.8e-20 (3 hits)	2.5e-13 (1 hits)	3.7e-22 (1 hits)	4.6e-12 (2 hits)
vltf3		5.9e-52 (2 hits)					2.3e-52 (4 hits)									1.4e-57 (2 hits)																		6.9e-53 (1 hits)	8.5e-53 (2 hits)									2.6e-11 (4 hits)				
