NCLDV_gene	Allomyces_arbuscula_Burma_1F	Allomyces_javanicus_California_12	Allomyces_macrogynus_ATCC_38327	Anaeromyces_robustus_v1.0	Batrachochytrium_dendrobatidis_JAM81_v1.0	Batrachochytrium_dendrobatidis_JEL423	Batrachochytrium_salamandrivorans_BS	Blastocladiella_britannica_v1.0	Blyttiomyces_helicus_single-cell_v1.0	Blyttiomyces_sp._JEL0837	Boothiomyces_macroporosum_PLAUS21	Boothiomyces_sp._JEL0838	Boothiomyces_sp._JEL0866	Borealophlyctis_nickersoniae_WJD170	Catenaria_anguillulae_PL171_v2.0	Caulochytrium_protostelioides_ATCC_52028_v1.0	Chytridium_lagenaria_Arg66_v1.0	Chytriomyces_confervae_CBS_675.73	Chytriomyces_hyalinus_ARG085	Chytriomyces_hyalinus_ARG121	Chytriomyces_hyalinus_JEL0176	Chytriomyces_hyalinus_JEL0345	Chytriomyces_hyalinus_JEL632_v1.0	Chytriomyces_sp._MP_71_v1.0	Cladochytrium_polystomum_WB228_v1.0	Cladochytrium_replicatum_JEL714_v1.0	Cladochytrium_tenue_CCIBt4013	Clydaea_vesicula_JEL0476	Coelomomyces_lativittatus_CIRM-AVA-1-Amber	Coelomomyces_lativittatus_CIRM-AVA-1-Meiospore	Coelomomyces_lativittatus_CIRM-AVA-1-Orange	Dinochytrium_kinnereticum_KLL_TL_06062013	Entophlyctis_helioformis_JEL805_v1.0	Entophlyctis_luteolus_JEL0120	Entophlyctis_luteolus_JEL0129	Entophlyctis_sp._JEL0112	Fimicolochytrium_jonesii_JEL569_v1.0	Gaertneriomyces_semiglobifer_Barr_43_v1.0	Gaertneriomyces_sp._JEL0708	Geranomyces_michiganensis_JEL0563	Geranomyces_variabilis_JEL0379	Geranomyces_variabilis_JEL0389	Geranomyces_variabilis_JEL0566	Geranomyces_variabilis_JEL0567	Geranomyces_variabilis_JEL559_v1.0	Globomyces_pollinis-pini_Arg68_v1.0	Gonapodya_prolifera_v1.0	Gonapodya_sp._JEL0774	Gorgonomyces_haynaldii_MP57_v1.0	Homolaphlyctis_polyrhiza_JEL142_v1.0	Hyaloraphidium_curvatum_SAG235-1_v1.0	Irineochytrium_annulatum_JEL0729	Kappamyces_sp._JEL0680	Kappamyces_sp._JEL0829	Lobulomyces_angularis_JEL0522	Mitosporidium_daphniae_UGP3	Neocallimastix_californiae_G1_v1.0	Nowakowskiella_sp._JEL0078	Nowakowskiella_sp._JEL0407	Obelidium_mucronatum_JEL802_v1.0	Olpidium_sp._PSC023	Paramicrosporidium_saccamoebae_KSL3	Paraphelidium_tribonemae_X-108.Trinity	Paraphysoderma_sedebokerense_JEL821_v1.0	Pecoramyces_ruminatium_C1A	Phlyctochytrium_bullatum_JEL0754	Phlyctochytrium_planicorne_JEL0388	Physocladia_obscura_JEL0513	Piromyces_finnis_v3.0	Piromyces_sp._E2_v1.0	Podochytrium_sp._JEL0797	Polychytrium_aggregatum_JEL109_v1.0	Powellomyces_hirtus_BR81_v1.0	Powellomyces_hirtus_CBS_809.83	Quaeritorhiza_haematococci_JEL0916	Rhizoclosmatium_globosum_JEL800_v1.0	Rhizoclosmatium_hyalinum_JEL0917	Rhizoclosmatium_sp._JEL0117	Rhizophlyctis_rosea_JEL0318	Rhizophlyctis_rosea_JEL0764	Rozella_allomycis_CSF55_v1.0	Rozella_multimorpha	Rozella_rhizoclosmatii	Rozella_sp._PSC023	Siphonaria_sp._JEL0065	Spizellomyces_punctatus_DAOM_BR117	Spizellomyces_sp._palustris_CBS_455.65	Synchytrium_endobioticum_MB42	Synchytrium_microbalum_JEL517	Terramyces_sp._JEL0728	Thoreauomyces_humboldtii_JEL0095	Triparticalcar_arcticum_BR59_v1.0	Unknown_Chytridiales_sp._JEL0842	Unknown_Rhizophydiales_sp._JEL0801	Unknown_unknown_JEL0888
capsid	scaffold_22:93701..94939(-)	scaffold_389:2158..3396(-)							NODE_485:4803..6023(-)						scaffold_116:59860..61101(+)					scaffold_292:23135..24175(+)		scaffold_569:1252..2625(-)	scaffold_136:51360..52917(-)														scaffold_7:669002..670693(+)	scaffold_8:2444..3069(+)									scaffold_176:12503..13735(-)	scaffold_3111:337..1413(-)																							scaffold_141:35764..37449(-)	NOLOC-Polagg1_1|Polagg1_1_21998			scaffold_1025:107..1172(-)					scaffold_768:5617..6603(+)					scaffold_2129:2883..3445(+)				NW_022158428.1:34242..35002(+)						
capsid-polinto	scaffold_22:93701..94939(-)	scaffold_389:2158..3396(-)							NODE_485:4803..6023(-)						scaffold_116:59860..61101(+)					scaffold_292:23135..24175(+)		scaffold_569:1252..2625(-)	scaffold_136:51360..52917(-)														scaffold_7:669002..670693(+)	scaffold_8:2444..3069(+)									scaffold_176:12503..13735(-)	scaffold_3111:337..1413(-)																							scaffold_141:35764..37449(-)	NOLOC-Polagg1_1|Polagg1_1_21998	scaffold_30:125443..126483(-)	QEAQ01000221.1:5638..6264(+)	scaffold_1025:107..1172(-)					scaffold_768:5617..6603(+)					scaffold_2129:2883..3445(+)				NW_022158428.1:34242..35002(+)			scaffold_14:662782..663901(+)			
dnapol	scaffold_5:508656..512302(-)	scaffold_14:83852..87488(-)	Supercontig_31:508480..512437(-)	scaffold_37:254917..258825(-)	scaffold_6:77377..82431(-)	NOLOC-BDEN423|BDET_05054	LYON01000790.1:5847..11003(+)	scaffold_183:6780..10383(-)	NODE_300:4258..9839(-)	scaffold_105:3380..8367(+)	scaffold_65:63064..66210(-)	scaffold_25:17078..20224(+)	scaffold_120:15063..19168(-)	scaffold_323:11194..16690(+)	scaffold_4:585674..589580(-)	NOLOC-Caupr1|Caupr1_13579	scaffold_142:89882..94372(-)	QEAP01000019.1:108028..112815(+)	scaffold_9:97268..102035(-)	scaffold_5:190231..195015(+)	scaffold_172:18842..23612(+)	scaffold_542:11403..15449(+)	scaffold_8:341202..346049(+)	scaffold_462:11803..15918(+)	scaffold_119:122940..127897(-)	scaffold_41:295562..300218(-)	scaffold_1172:5799..8113(+)	scaffold_79:4949..9195(+)	NOLOC-HMI54|HMI54_004084	NOLOC-HMI56|HMI56_007403	NOLOC-HMI55|HMI55_006562	scaffold_279:5155..9555(-)	scaffold_224:7468..12603(-)	scaffold_406:6923..11319(-)	scaffold_370:10882..14153(+)	scaffold_456:6392..10205(-)	scaffold_5:744682..749158(+)	scaffold_3:1225804..1229424(-)	scaffold_1:1605203..1608823(+)	scaffold_65:40265..44438(+)	scaffold_33:115293..121629(-)	scaffold_22:371596..375740(+)	scaffold_11:253637..257780(+)	scaffold_65:48214..52355(+)	scaffold_100:17290..21618(-)	scaffold_85:49303..53234(-)	scaffold_20:90805..95452(+)	scaffold_203:12270..16147(-)	scaffold_21:48957..52529(+)	scaffold_652:4346..7138(-)	scaffold_19:410096..414797(-)	scaffold_461:76..2287(+)	scaffold_445:158..2561(+)	NOLOC-HDV03|HDV03_001787	scaffold_33:14093..18339(+)	NOLOC-Mdap|DI09_10p140	scaffold_125:350983..354452(+)	scaffold_4905:1589..2198(+)	scaffold_557:3750..5886(-)	scaffold_11:484910..489523(-)	NOLOC-OLPPSC023|OLPPSC023_000231	NOLOC-Psac|PSACC_00725	NOLOC-PTRIB|m.55562	scaffold_57:17017..21531(+)	NOLOC-Orpsp1_1|Orpsp1_1_1179797	scaffold_592:11..7127(+)	scaffold_111:74317..78272(+)	scaffold_3548:2351..3597(+)	scaffold_21:435396..439088(-)	scaffold_125:86148..89386(-)	scaffold_896:3620..10362(-)	NOLOC-Polagg1_1|Polagg1_1_517044	scaffold_31:110134..115036(+)	QEAQ01000060.1:115883..120382(+)	scaffold_3038:2130..4301(-)	scaffold_7:124115..128507(-)	scaffold_3908:9..1553(-)	scaffold_1447:90..1441(+)	scaffold_56:35722..40086(+)	scaffold_86:118996..123897(-)	scaffold_4355:6677..10189(-)	NOLOC-ROZMUL|ROZMUL_006661	NOLOC-RRHIZ|RRHIZ_00526	NOLOC-ROZPSC023|ROZPSC023_006481	scaffold_82:38746..43255(-)	Supercontig_1:1029342..1034220(+)	QEAR01000026.1:104081..108671(+)	QEAN01000420.1:4378..9982(+)	NW_022158389.1:112783..117580(+)	scaffold_21:2275..4933(-)	scaffold_158:18916..22618(+)	scaffold_37:2574..7213(-)	scaffold_95:68872..73456(-)	scaffold_70:47666..52522(-)	scaffold_518:633..5254(-)
pATPase	scaffold_22:315723..317029(-)	scaffold_461:5371..6177(+)	Supercontig_10:356333..356979(+)	scaffold_2:133675..134535(+)	scaffold_20:192468..196480(-)			scaffold_1094:36..3104(+)			scaffold_184:6767..10416(-)		scaffold_140:304..1098(-)	scaffold_574:14284..14913(-)				QEAP01000006.1:225211..229621(-)	scaffold_57:74858..79275(-)	scaffold_3:12049..16469(+)	scaffold_956:1516..5926(+)	scaffold_44:72290..76721(-)	scaffold_97:44242..48780(-)	scaffold_358:27969..32862(+)		scaffold_116:17991..23692(-)		scaffold_147:28502..33152(+)	NOLOC-HMI54|HMI54_003686				scaffold_221:31427..37702(-)	scaffold_175:16444..23640(-)		scaffold_62:71754..74667(-)	scaffold_47:150880..155298(-)	scaffold_39:73983..75102(-)	scaffold_59:20238..21191(+)		scaffold_69:107962..112784(+)		scaffold_40:68444..73207(+)	scaffold_3:548714..549169(+)	scaffold_7:434545..435895(-)	scaffold_272:3677..9238(+)	scaffold_276:13..2598(+)				scaffold_35:109895..111054(+)	scaffold_3:78828..82246(+)	scaffold_165:3349..7486(+)	NOLOC-HDV03|HDV03_000610	scaffold_66:3899..8549(-)		NOLOC-Neosp1|Neosp1_260820			scaffold_4:401361..405915(+)			NOLOC-PTRIB|m.28332	scaffold_18:30256..36278(+)		scaffold_65:6567..17993(+)	scaffold_505:1311..7414(+)	scaffold_465:5471..9929(-)	scaffold_17:212037..213902(+)	scaffold_95:108961..109821(+)	scaffold_1445:1183..5818(-)	NOLOC-Polagg1_1|Polagg1_1_620184	scaffold_8:764762..765472(-)	QEAQ01000429.1:16..726(+)	scaffold_1177:10066..10320(-)	scaffold_21:471157..480375(-)			scaffold_362:15158..15799(+)	scaffold_550:3051..3782(-)			NOLOC-RRHIZ|RRHIZ_04714		scaffold_968:7077..11408(-)	Supercontig_2:182645..183271(+)	QEAR01000156.1:1451..3080(-)	QEAN01000070.1:11372..27298(-)		scaffold_97:8054..10191(+)	scaffold_644:2795..3464(-)	scaffold_4:1127259..1127969(+)	scaffold_90:17742..24315(+)	scaffold_183:7473..16317(-)	scaffold_123:55..19785(+)
pATPase-polinto	scaffold_22:315723..317029(-)	scaffold_461:5371..6177(+)	Supercontig_10:356333..356979(+)	scaffold_2:133675..134535(+)	scaffold_3:593970..600435(+)	NOLOC-BDEN423|BDET_00186	LYON01000107.1:4097..11053(-)	scaffold_1094:36..3104(+)	NODE_8:11117..18611(+)	scaffold_687:990..7990(+)	scaffold_129:22008..33630(-)	scaffold_29:86132..91000(-)	scaffold_140:304..1098(-)	scaffold_574:14284..14913(-)	scaffold_1:175543..177979(-)	NOLOC-Caupr1|Caupr1_10259	scaffold_4:423606..426106(+)	QEAP01000006.1:225211..229621(-)	scaffold_57:74858..79275(-)	scaffold_62:9071..19728(-)	scaffold_956:1516..5926(+)	scaffold_44:72290..76721(-)	scaffold_27:14208..25061(+)	scaffold_97:34479..41499(+)	scaffold_2:711132..720378(+)	scaffold_24:419403..421663(+)	scaffold_2671:160..4887(-)	scaffold_145:29588..35155(-)	NOLOC-HMI54|HMI54_004910	NOLOC-HMI56|HMI56_006851	NOLOC-HMI55|HMI55_001735	scaffold_73:29045..46964(+)	scaffold_221:31427..37702(-)	scaffold_175:16444..23640(-)	scaffold_193:37015..41403(-)	scaffold_62:71754..74667(-)	scaffold_5:284263..288927(-)	scaffold_30:154884..155837(-)	scaffold_59:20238..21191(+)	scaffold_38:61389..63418(-)	scaffold_69:107962..112784(+)	scaffold_20:260624..262675(-)	scaffold_40:68444..73207(+)	scaffold_78:8188..8922(+)	scaffold_81:24792..29559(-)	scaffold_272:3677..9238(+)	scaffold_276:13..2598(+)	scaffold_118:39366..45045(-)	scaffold_4:12588..19603(+)	scaffold_1232:5481..7985(+)	scaffold_35:109895..111054(+)	scaffold_3:78828..82246(+)	scaffold_1:79877..81854(-)	NOLOC-HDV03|HDV03_002754	scaffold_242:633..6658(-)	NOLOC-Mdap|DI09_84p60	NOLOC-Neosp1|Neosp1_260820		scaffold_39:1205..5664(-)	scaffold_4:401361..405915(+)	NOLOC-OLPPSC023|OLPPSC023_002583		NOLOC-PTRIB|m.28332	scaffold_18:30256..36278(+)	NOLOC-Orpsp1_1|Orpsp1_1_1182593	scaffold_65:6567..17993(+)	scaffold_37:11801..22173(+)	scaffold_1213:15..3839(-)	scaffold_17:212037..213902(+)	scaffold_95:108961..109821(+)	scaffold_15:5120..7106(+)	NOLOC-Polagg1_1|Polagg1_1_620184	scaffold_8:764762..765472(-)	QEAQ01000429.1:16..726(+)	scaffold_1177:10066..10320(-)	scaffold_21:471157..480375(-)	scaffold_425:1943..5627(+)	scaffold_8:108456..112671(+)	scaffold_3012:572..1144(+)	scaffold_550:3051..3782(-)	scaffold_3521:31003..33225(-)	NOLOC-ROZMUL|ROZMUL_005749	NOLOC-RRHIZ|RRHIZ_02826	NOLOC-ROZPSC023|ROZPSC023_001200	scaffold_968:7077..11408(-)	Supercontig_2:182645..183271(+)	QEAR01000156.1:1451..3080(-)	QEAN01000070.1:11372..27298(-)	NW_022158350.1:357576..373503(+)	scaffold_97:8054..10191(+)	scaffold_644:2795..3464(-)	scaffold_4:1127259..1127969(+)	scaffold_360:944..11922(+)	scaffold_246:2096..9238(-)	scaffold_881:1658..8025(-)
primase	scaffold_22:161228..163867(+)	scaffold_407:704..3853(-)	Supercontig_11:546131..548930(-)	scaffold_182:61822..63636(+)					NODE_1739:1583..2936(+)	scaffold_2834:1499..2563(-)		scaffold_167:2463..4968(-)	scaffold_140:13115..15592(-)	scaffold_1290:6522..9251(+)		NOLOC-Caupr1|Caupr1_28279		QEAP01000345.1:23730..24979(+)		scaffold_114:50524..54798(+)	scaffold_291:4281..5530(-)	scaffold_258:9221..11392(-)	scaffold_10:510773..512019(+)	scaffold_794:5866..6738(-)	scaffold_118:47454..48992(+)			scaffold_106:168..2442(+)	NOLOC-HMI54|HMI54_010604	NOLOC-HMI56|HMI56_002894	NOLOC-HMI55|HMI55_005358				scaffold_520:7345..9725(-)	scaffold_848:868..1849(+)	scaffold_2:2122483..2125611(+)	scaffold_61:11574..14139(+)	scaffold_62:12012..14183(-)	scaffold_119:23519..26650(+)	scaffold_155:144..3300(-)	scaffold_126:497..2719(-)	scaffold_114:1860..3868(-)	scaffold_29:238450..241581(+)	scaffold_147:4732..10529(-)		scaffold_181:16760..19660(-)	scaffold_279:6083..13085(+)			scaffold_26:403241..405744(+)				scaffold_69:45505..47760(+)		scaffold_56:471247..473259(+)	scaffold_241:5630..7477(+)			NOLOC-OLPPSC023|OLPPSC023_000241		NOLOC-PTRIB|m.48419		NOLOC-Orpsp1_1|Orpsp1_1_1192127	scaffold_326:30983..32208(-)		scaffold_2043:863..1994(-)	scaffold_89:109916..111828(-)	scaffold_23:267795..269528(+)	scaffold_145:15813..16906(+)	NOLOC-Polagg1_1|Polagg1_1_147147	scaffold_3:304619..307390(+)	QEAQ01000452.1:25..2214(+)	scaffold_1645:4494..7470(-)	scaffold_5:877374..879931(-)	scaffold_858:539..2214(+)	scaffold_971:1212..2852(-)	scaffold_284:9422..12181(+)	scaffold_947:93..3311(+)					scaffold_2954:487..1451(-)	Supercontig_21:321608..324109(+)	QEAR01000151.1:447..4509(+)		NW_022158428.1:144..3404(-)		scaffold_197:16368..17723(-)	scaffold_17:23164..25814(-)			
rnapol1	scaffold_7:287331..293519(-)	scaffold_176:9992..14602(-)	Supercontig_13:985351..991768(-)	scaffold_207:317..7633(+)	scaffold_3:538034..543960(-)	NOLOC-BDEN423|BDET_04064	LYON01000751.1:5201..11437(+)	scaffold_370:11532..17516(+)	NODE_1296:744..8310(-)	scaffold_1952:15..5411(-)	scaffold_34:25391..31880(-)	scaffold_105:23010..28511(-)	scaffold_77:26104..31584(-)	scaffold_379:820..6190(-)	scaffold_53:76063..81473(+)	NOLOC-Caupr1|Caupr1_14416	scaffold_119:5868..11997(-)	QEAP01000016.1:125770..131663(-)	scaffold_54:23341..28246(+)	scaffold_149:2107..7011(-)	scaffold_91:46335..51336(+)	scaffold_274:5739..10814(-)	scaffold_83:126719..132279(+)	scaffold_302:6545..11938(+)	scaffold_51:171015..177232(+)	scaffold_19:393307..399109(-)	scaffold_1057:49..5972(+)	scaffold_294:13660..19426(-)	NOLOC-HMI54|HMI54_001902	NOLOC-HMI56|HMI56_000534	NOLOC-HMI55|HMI55_002608	scaffold_68:26002..31657(-)	scaffold_17:74669..81610(+)	scaffold_49:1540..7184(+)	scaffold_12:161398..166696(-)	scaffold_28:10052..15693(+)	scaffold_7:529948..535815(-)	scaffold_20:85741..91310(+)	scaffold_23:248084..253649(-)	scaffold_92:34061..40293(-)	scaffold_80:76480..82712(+)	scaffold_5:16540..23927(-)	scaffold_9:599987..607742(+)	scaffold_6:13129..20755(-)	scaffold_32:208818..216558(+)	scaffold_66:10691..16612(-)	scaffold_61:180327..187404(-)	scaffold_195:521..8848(+)	scaffold_4:400951..406412(+)	scaffold_474:675..6982(+)	scaffold_5:290652..297615(+)	scaffold_460:9861..14985(+)	scaffold_127:3550..10788(+)	NOLOC-HDV03|HDV03_001973	scaffold_394:9505..15272(-)	NOLOC-Mdap|DI09_2p560	scaffold_24:727340..733830(-)	scaffold_83:153..5669(+)	scaffold_229:6831..16105(-)	scaffold_11:91066..97203(-)	NOLOC-OLPPSC023|OLPPSC023_001635	NOLOC-Psac|PSACC_00035	NOLOC-PTRIB|m.26252	scaffold_4:377633..383173(+)	NOLOC-Orpsp1_1|Orpsp1_1_1189083	scaffold_560:11296..16423(-)	scaffold_18:95492..101291(+)	scaffold_74:535..6179(-)	scaffold_9:496881..504869(-)	scaffold_303:71486..74984(+)	scaffold_133:12070..18481(+)	NOLOC-Polagg1_1|Polagg1_1_258573	scaffold_9:788597..793704(-)	QEAQ01000009.1:347208..353031(+)	scaffold_493:10321..15866(-)	scaffold_33:106508..112725(+)	scaffold_6:39627..48620(-)	scaffold_150:11894..17856(-)	scaffold_83:32232..37701(+)	scaffold_445:10517..16535(-)	scaffold_3876:6217..12016(-)	NOLOC-ROZMUL|ROZMUL_006626	NOLOC-RRHIZ|RRHIZ_00504	NOLOC-ROZPSC023|ROZPSC023_004701	scaffold_824:4106..10323(-)	Supercontig_1:1010841..1016985(-)	QEAR01000026.1:86654..92634(-)	QEAN01000012.1:45820..53321(+)	NW_022158353.1:477669..484983(+)	scaffold_60:37122..42602(-)	scaffold_1009:2039..7610(+)	scaffold_16:366091..372331(+)	scaffold_91:15490..21384(+)	scaffold_22:73168..80516(+)	scaffold_356:7745..14868(-)
rnapol2	scaffold_122:5672..9504(-)	scaffold_176:2634..5885(+)	Supercontig_22:672419..676637(+)	scaffold_238:86664..91849(+)	scaffold_3:184907..190775(+)	NOLOC-BDEN423|BDET_06102	LYON01000072.1:23233..27798(-)	scaffold_625:3811..7734(+)	NODE_239:13368..17804(+)	scaffold_1358:6865..10449(+)	scaffold_95:43029..46626(+)	scaffold_33:58598..61938(+)	scaffold_49:14798..18678(-)	scaffold_925:1976..6831(-)	scaffold_6:473532..477417(-)	NOLOC-Caupr1|Caupr1_11083	scaffold_19:127773..132125(+)	QEAP01000261.1:18157..22651(-)	scaffold_10:17458..24566(+)	scaffold_14:69068..78722(-)	scaffold_331:11873..21539(+)	scaffold_69:16702..20790(-)	scaffold_58:3409..7980(-)	scaffold_282:35653..39993(+)	scaffold_2:287994..292413(+)	scaffold_18:352091..356423(-)	scaffold_213:3878..12287(+)	scaffold_134:21499..25674(-)	NOLOC-HMI54|HMI54_009802	NOLOC-HMI56|HMI56_007511	NOLOC-HMI55|HMI55_002235	scaffold_217:18971..23107(-)	scaffold_89:13821..18452(+)	scaffold_968:4309..8422(-)	scaffold_238:28240..32352(-)	scaffold_188:33673..37786(-)	scaffold_29:46963..51678(-)	scaffold_8:682151..686013(-)	scaffold_24:235664..239515(-)	scaffold_9:320819..325179(-)	scaffold_54:74583..78926(-)	scaffold_5:200476..204799(-)	scaffold_9:424210..428517(+)	scaffold_6:192075..196413(-)	scaffold_32:33100..37434(+)	scaffold_2:29612..33566(+)	scaffold_7:393809..398171(-)	scaffold_2:286159..290745(-)	scaffold_4:82792..86486(-)	scaffold_199:4218..10136(+)	scaffold_3:973971..978057(+)	scaffold_388:2267..6765(+)	scaffold_316:1032..4778(+)	NOLOC-HDV03|HDV03_000468	scaffold_178:16977..21152(+)	NOLOC-Mdap|DI09_16p270	scaffold_21:606199..611727(+)	scaffold_275:2767..6929(+)	scaffold_10:120645..124480(+)	scaffold_91:79789..84337(+)	NOLOC-OLPPSC023|OLPPSC023_006515	NOLOC-Psac|PSACC_03101	NOLOC-PTRIB|m.49821	scaffold_31:48013..51760(-)	NOLOC-Orpsp1_1|Orpsp1_1_1181240	scaffold_202:13437..17991(-)	scaffold_59:94754..98843(-)	scaffold_2682:886..5283(+)	scaffold_26:195700..200570(-)	scaffold_603:8051..12144(+)	scaffold_672:1466..8410(+)	NOLOC-Polagg1_1|Polagg1_1_498705	scaffold_6:274443..278526(+)	QEAQ01000029.1:89811..93896(-)	scaffold_216:5977..11101(-)	scaffold_40:318770..323123(-)	scaffold_587:3961..4734(-)	scaffold_76:62229..66459(+)	scaffold_198:4224..8874(+)	scaffold_78:134472..139142(-)	scaffold_3365:9659..13348(+)	NOLOC-ROZMUL|ROZMUL_004198	NOLOC-RRHIZ|RRHIZ_04436	NOLOC-ROZPSC023|ROZPSC023_005635	scaffold_386:13980..18255(+)	Supercontig_2:89727..94416(-)	QEAR01000001.1:209276..213636(-)	QEAN01000274.1:8897..14050(+)	NW_022158362.1:12356..17618(-)	scaffold_64:14866..18464(-)	scaffold_367:14524..18817(-)	scaffold_46:55137..60760(-)	scaffold_135:20313..29893(-)	scaffold_11:16223..20057(-)	scaffold_1031:360..5701(+)
tf2s	scaffold_87:10597..11947(+)	scaffold_3:286188..287540(-)	Supercontig_4:994160..995579(+)	scaffold_57:81751..83462(+)	scaffold_13:667959..669567(+)	NOLOC-BDEN423|BDET_06520	LYON01001155.1:4837..7581(-)	scaffold_998:2857..3957(-)	NODE_7336:19..1179(+)	scaffold_1497:4208..5885(+)	scaffold_59:7707..9371(+)	scaffold_81:7739..8666(+)	scaffold_64:55573..55930(-)	scaffold_1877:3248..4694(+)	scaffold_11:459120..460263(+)	NOLOC-Caupr1|Caupr1_9315	scaffold_21:50530..51984(+)	QEAP01000007.1:195907..197269(+)	scaffold_33:31133..32487(+)	scaffold_1:178514..179865(+)	scaffold_10:67236..68598(-)	scaffold_7:123165..124504(-)	scaffold_10:416557..418102(-)	scaffold_24:31286..32830(-)	scaffold_29:426509..429231(-)	scaffold_15:642364..644232(+)	scaffold_4874:1217..2953(-)	scaffold_554:5258..6707(+)	NOLOC-HMI54|HMI54_012350	NOLOC-HMI56|HMI56_007417	NOLOC-HMI55|HMI55_004285	scaffold_17:17683..18807(+)	scaffold_1:407290..409091(+)	scaffold_1426:270..1290(-)	scaffold_79:77612..80492(-)	scaffold_453:4352..5456(-)	scaffold_36:134411..136261(-)	scaffold_8:582475..583704(+)	scaffold_24:139539..140605(+)	scaffold_13:240830..242233(+)	scaffold_36:172882..173412(+)	scaffold_37:163608..165002(-)	scaffold_29:178018..178545(-)	scaffold_35:195652..197246(-)	scaffold_58:91598..93310(-)	scaffold_60:53444..55143(+)	scaffold_64:91725..92532(-)	scaffold_20:153626..158223(-)	scaffold_9:133808..134654(-)	scaffold_341:2649..3346(+)	scaffold_7:308982..310453(-)	scaffold_473:6090..7371(-)	scaffold_36:11934..12759(-)	NOLOC-HDV03|HDV03_001495	scaffold_25:86011..87463(+)	NOLOC-Mdap|DI09_234p20	scaffold_142:196630..198867(+)		scaffold_87:63539..64783(+)	scaffold_35:161040..162431(-)	NOLOC-OLPPSC023|OLPPSC023_001927	NOLOC-Psac|PSACC_02555	NOLOC-PTRIB|m.66223	scaffold_77:11439..13363(-)	NOLOC-Orpsp1_1|Orpsp1_1_1177187	scaffold_170:31564..32510(-)	scaffold_55:62836..64014(-)	scaffold_2157:4717..6244(+)	scaffold_8:956877..958835(-)	scaffold_62:71398..72252(+)	scaffold_125:1204..2261(+)	NOLOC-Polagg1_1|Polagg1_1_494686	scaffold_16:659026..660593(-)	QEAQ01000124.1:201..1646(-)	scaffold_210:15305..17127(+)	scaffold_10:410692..411791(-)	scaffold_3713:750..1802(-)	scaffold_136:15597..16768(+)	scaffold_2:53150..54538(-)	scaffold_80:94702..96195(+)	scaffold_4232:47747..48753(-)	NOLOC-ROZMUL|ROZMUL_006855		NOLOC-ROZPSC023|ROZPSC023_001147	scaffold_121:18893..33812(-)	Supercontig_4:841068..842739(+)	QEAR01000010.1:229070..230127(+)	QEAN01000123.1:44954..46410(-)	NW_022158358.1:292668..294326(-)	scaffold_270:869..2537(-)	scaffold_392:18650..20053(-)	scaffold_5:274209..275920(+)	scaffold_27:95839..97891(-)	scaffold_4:85420..85916(-)	scaffold_48:6044..7662(-)
