NCVOG_gene	ARG085	Burma_1F	CCIBt4013	CIRM-AVA-1-Amber	CIRM-AVA-1-Meiospore	CIRM-AVA-1-Orange	California_12	JEL0065	JEL0095	JEL0112	JEL0117	JEL0120	JEL0129	JEL0176	JEL0318	JEL0345	JEL0379	JEL0388	JEL0389	JEL0407	JEL0476	JEL0513	JEL0522	JEL0563	JEL0566	JEL0567	JEL0680	JEL0695	JEL0708	JEL0728	JEL0729	JEL0754	JEL0764	JEL0774	JEL0797	JEL0801	JEL0829	JEL0837	JEL0838	JEL0842	JEL0847	JEL0866	JEL0888	JEL0916	JEL0917	KLL_TL_06062013	PLAUS21	WJD170
NCVOG0001	NODE_9_length_229137_cov_12.284406_134 NODE_9_length_229137_cov_12.284406:98586..99797(-)	NODE_78_length_105345_cov_21.294458_33 NODE_78_length_105345_cov_21.294458:30165..32348(-)	NODE_558_length_10904_cov_49.457283_9 NODE_558_length_10904_cov_49.457283:7538..9952(-)	NODE_1943_length_6067_cov_50.206088_1 NODE_1943_length_6067_cov_50.206088:1040..3184(-)	NODE_425_length_10421_cov_217.202585_4 NODE_425_length_10421_cov_217.202585:1233..3377(+)	NODE_968_length_5860_cov_75.030146_1 NODE_968_length_5860_cov_75.030146:1266..3410(-)	NODE_267_length_22612_cov_15.767118_7 NODE_267_length_22612_cov_15.767118:9993..12461(-)	NODE_1_length_185755_cov_4.139661_159 NODE_1_length_185755_cov_4.139661:116389..117450(+)	NODE_221_length_28443_cov_34.785765_9 NODE_221_length_28443_cov_34.785765:5693..7150(+)	NODE_159_length_47330_cov_4.529342_33 NODE_159_length_47330_cov_4.529342:24476..25780(-)	NODE_12246_length_913_cov_17.034689_2 NODE_12246_length_913_cov_17.034689:231..812(-)		NODE_184_length_47341_cov_9.817218_34 NODE_184_length_47341_cov_9.817218:24538..25842(-)	NODE_15_length_176716_cov_5.124915_24 NODE_15_length_176716_cov_5.124915:19488..20699(-)	NODE_81_length_50749_cov_55.273524_48 NODE_81_length_50749_cov_55.273524:34406..36139(-)	NODE_106_length_76374_cov_6.429584_104 NODE_106_length_76374_cov_6.429584:69485..70867(+)	NODE_157_length_31854_cov_13.752903_4 NODE_157_length_31854_cov_13.752903:4966..7023(-)	NODE_57_length_156658_cov_9.910359_67 NODE_57_length_156658_cov_9.910359:48938..50674(+)	NODE_16_length_584986_cov_36.556405_171 NODE_16_length_584986_cov_36.556405:135114..137030(-)	NODE_1230_length_3765_cov_114.763286_1 NODE_1230_length_3765_cov_114.763286:3..1805(+)	NODE_223_length_21882_cov_75.369898_23 NODE_223_length_21882_cov_75.369898:16944..17570(+)	NODE_5412_length_2207_cov_39.358685_1 NODE_5412_length_2207_cov_39.358685:494..1066(-)	NODE_67_length_101346_cov_6.774373_19 NODE_67_length_101346_cov_6.774373:9827..10453(-)	NODE_12_length_420860_cov_12.475231_159 NODE_12_length_420860_cov_12.475231:124367..126616(+)	NODE_35_length_235943_cov_22.496078_277 NODE_35_length_235943_cov_22.496078:223466..225034(-)	NODE_31_length_299472_cov_22.532223_218 NODE_31_length_299472_cov_22.532223:164494..166302(-)	NODE_29_length_31909_cov_26.428091_1 NODE_29_length_31909_cov_26.428091:1..870(-)	NODE_231_length_52392_cov_5.695021_46 NODE_231_length_52392_cov_5.695021:44057..45490(+)	NODE_2_length_1054681_cov_16.125990_731 NODE_2_length_1054681_cov_16.125990:684088..686499(+)	NODE_821_length_4594_cov_19.925172_2 NODE_821_length_4594_cov_19.925172:960..2546(-)	NODE_40_length_68708_cov_10.597106_21 NODE_40_length_68708_cov_10.597106:19901..21946(-)	NODE_292_length_37770_cov_5.939219_20 NODE_292_length_37770_cov_5.939219:15466..17226(+)	NODE_628_length_13713_cov_3.064242_5 NODE_628_length_13713_cov_3.064242:3480..5564(-)	NODE_7_length_275410_cov_8.210215_241 NODE_7_length_275410_cov_8.210215:187633..189282(+)	NODE_2591_length_3126_cov_12.436865_2 NODE_2591_length_3126_cov_12.436865:203..1345(+)	NODE_1368_length_2607_cov_9.393520_1 NODE_1368_length_2607_cov_9.393520:3..848(-)	NODE_26_length_120573_cov_26.069886_52 NODE_26_length_120573_cov_26.069886:38588..39529(-)		NODE_549_length_7262_cov_21.869589_11 NODE_549_length_7262_cov_21.869589:6440..7141(+)	NODE_44_length_129392_cov_8.204864_141 NODE_44_length_129392_cov_8.204864:91970..93736(-)	NODE_1979_length_1695_cov_26.414091_2 NODE_1979_length_1695_cov_26.414091:1034..1693(+)	NODE_2947_length_1072_cov_25.381910_2 NODE_2947_length_1072_cov_25.381910:411..1070(+)	NODE_542_length_12068_cov_31.598532_6 NODE_542_length_12068_cov_31.598532:4988..7084(+)	NODE_290_length_24515_cov_33.061789_24 NODE_290_length_24515_cov_33.061789:19275..21068(-)	NODE_665_length_4449_cov_7.284081_4 NODE_665_length_4449_cov_7.284081:1280..2335(-)	NODE_76_length_75726_cov_17.501051_1 NODE_76_length_75726_cov_17.501051:3..1607(-)	NODE_7599_length_648_cov_205.110333_2 NODE_7599_length_648_cov_205.110333:77..646(+)	NODE_818_length_13823_cov_15.713735_8 NODE_818_length_13823_cov_15.713735:3894..5738(+)
NCVOG0002	NODE_9_length_229137_cov_12.284406_95 NODE_9_length_229137_cov_12.284406:68594..70360(-)	NODE_28_length_237338_cov_20.724001_5 NODE_28_length_237338_cov_20.724001:8418..12668(-)	NODE_8090_length_2051_cov_66.434650_1 NODE_8090_length_2051_cov_66.434650:3..2051(-)	NODE_208_length_19598_cov_3.369749_15 NODE_208_length_19598_cov_3.369749:17722..19365(+)	NODE_1062_length_6381_cov_82.868005_6 NODE_1062_length_6381_cov_82.868005:3570..6080(-)	NODE_63_length_17448_cov_9.351845_2 NODE_63_length_17448_cov_9.351845:244..2118(+)	NODE_69_length_39991_cov_15.559116_23 NODE_69_length_39991_cov_15.559116:24761..29044(+)	NODE_41_length_59620_cov_4.292511_76 NODE_41_length_59620_cov_4.292511:50725..51846(+)	NODE_1017_length_7995_cov_28.620738_3 NODE_1017_length_7995_cov_28.620738:2957..6172(+)	NODE_574_length_10016_cov_4.241574_3 NODE_574_length_10016_cov_4.241574:2862..4613(-)	NODE_2101_length_2864_cov_12.008253_3 NODE_2101_length_2864_cov_12.008253:1218..2864(-)		NODE_11_length_176731_cov_9.602726_227 NODE_11_length_176731_cov_9.602726:172494..174320(+)	NODE_275_length_30924_cov_4.958213_13 NODE_275_length_30924_cov_4.958213:8629..10395(+)	NODE_96_length_48301_cov_57.981482_61 NODE_96_length_48301_cov_57.981482:43555..46632(+)	NODE_1_length_439945_cov_6.497974_439 NODE_1_length_439945_cov_6.497974:322001..324190(-)	NODE_53_length_148831_cov_14.109912_116 NODE_53_length_148831_cov_14.109912:90195..92996(+)	NODE_41_length_173560_cov_9.216227_30 NODE_41_length_173560_cov_9.216227:31081..32040(+)	NODE_8_length_756785_cov_36.210990_701 NODE_8_length_756785_cov_36.210990:575929..578772(+)	NODE_299_length_11573_cov_24.792711_2 NODE_299_length_11573_cov_24.792711:928..2937(+)	NODE_193_length_23849_cov_102.314530_25 NODE_193_length_23849_cov_102.314530:20532..21680(-)	NODE_2737_length_5492_cov_24.424377_2 NODE_2737_length_5492_cov_24.424377:2296..4683(-)	NODE_18_length_176137_cov_8.094211_26 NODE_18_length_176137_cov_8.094211:21089..22231(-)	NODE_88_length_81796_cov_12.516954_7 NODE_88_length_81796_cov_12.516954:4796..7915(+)	NODE_2_length_1224506_cov_22.465143_770 NODE_2_length_1224506_cov_22.465143:595481..598930(-)	NODE_22_length_445026_cov_22.503606_521 NODE_22_length_445026_cov_22.503606:402457..405303(-)	NODE_1265_length_2629_cov_32.807602_1 NODE_1265_length_2629_cov_32.807602:74..2269(+)	NODE_80_length_103334_cov_4.622405_94 NODE_80_length_103334_cov_4.622405:68547..70313(-)	NODE_14_length_557804_cov_15.796300_379 NODE_14_length_557804_cov_15.796300:393417..396458(-)	NODE_430_length_6087_cov_17.827953_4 NODE_430_length_6087_cov_17.827953:1225..4326(-)	NODE_1126_length_10551_cov_16.537617_10 NODE_1126_length_10551_cov_16.537617:7870..9297(+)	NODE_80_length_64385_cov_6.374697_22 NODE_80_length_64385_cov_6.374697:16224..17210(-)	NODE_149_length_93613_cov_5.576922_51 NODE_149_length_93613_cov_5.576922:46183..47043(-)	NODE_119_length_68638_cov_8.415513_35 NODE_119_length_68638_cov_8.415513:18021..18536(+)	NODE_2990_length_2615_cov_16.657604_2 NODE_2990_length_2615_cov_16.657604:705..2456(+)	NODE_5089_length_1448_cov_10.423778_1 NODE_5089_length_1448_cov_10.423778:3..1448(-)	NODE_7_length_184951_cov_24.843185_55 NODE_7_length_184951_cov_24.843185:46884..49256(-)		NODE_229_length_13874_cov_22.181416_10 NODE_229_length_13874_cov_22.181416:7367..10516(-)	NODE_172_length_45859_cov_8.102442_45 NODE_172_length_45859_cov_8.102442:31900..33222(+)	NODE_2574_length_1282_cov_30.845643_1 NODE_2574_length_1282_cov_30.845643:1..1014(+)	NODE_158_length_15754_cov_25.027493_14 NODE_158_length_15754_cov_25.027493:11077..12156(+)	NODE_924_length_7812_cov_26.232450_8 NODE_924_length_7812_cov_26.232450:4623..7721(-)	NODE_7254_length_1128_cov_2.158896_2 NODE_7254_length_1128_cov_2.158896:126..1127(+)	NODE_482_length_5248_cov_5.813382_3 NODE_482_length_5248_cov_5.813382:1585..2766(-)	NODE_56_length_86787_cov_6.038323_56 NODE_56_length_86787_cov_6.038323:43789..44751(-)	NODE_228_length_5535_cov_262.644742_4 NODE_228_length_5535_cov_262.644742:1062..4259(-)	NODE_199_length_29991_cov_14.910349_3 NODE_199_length_29991_cov_14.910349:598..1602(-)
NCVOG0003								NODE_830_length_16685_cov_4.236799_10 NODE_830_length_16685_cov_4.236799:4568..5431(-)	NODE_559_length_15412_cov_35.322661_9 NODE_559_length_15412_cov_35.322661:6948..7916(+)	NODE_848_length_3327_cov_4.405538_3 NODE_848_length_3327_cov_4.405538:1183..2166(-)			NODE_589_length_6735_cov_9.211475_9 NODE_589_length_6735_cov_9.211475:4333..5313(+)				NODE_104_length_73316_cov_13.874425_16 NODE_104_length_73316_cov_13.874425:12156..13571(+)					NODE_1986_length_7322_cov_10.759834_2 NODE_1986_length_7322_cov_10.759834:648..1568(+)		NODE_47_length_187641_cov_12.332025_36 NODE_47_length_187641_cov_12.332025:27032..28651(-)		NODE_36_length_247524_cov_22.435491_334 NODE_36_length_247524_cov_22.435491:245523..246848(-)				NODE_138_length_8898_cov_27.263349_5 NODE_138_length_8898_cov_27.263349:1513..2823(+)	NODE_7_length_190932_cov_9.491839_153 NODE_7_length_190932_cov_9.491839:173252..174178(+)			NODE_1849_length_2637_cov_10.392578_2 NODE_1849_length_2637_cov_10.392578:1398..2330(-)	NODE_300_length_22351_cov_5.566355_2 NODE_300_length_22351_cov_5.566355:442..1710(+)				NODE_5114_length_546_cov_25.810235_1 NODE_5114_length_546_cov_25.810235:3..545(-)	NODE_94_length_76742_cov_16.863236_85 NODE_94_length_76742_cov_16.863236:56676..57956(-)	NODE_5173_length_794_cov_28.866109_1 NODE_5173_length_794_cov_28.866109:1..666(+)	NODE_4807_length_794_cov_35.524407_1 NODE_4807_length_794_cov_35.524407:1..666(+)		NODE_4220_length_2891_cov_2.359275_1 NODE_4220_length_2891_cov_2.359275:3..941(-)			NODE_186_length_6296_cov_146.364689_2 NODE_186_length_6296_cov_146.364689:551..1855(+)	
NCVOG0004	NODE_14_length_211452_cov_8.980632_108 NODE_14_length_211452_cov_8.980632:81221..81625(+)			NODE_3358_length_3935_cov_2.143041_3 NODE_3358_length_3935_cov_2.143041:621..1475(+)	NODE_189_length_14162_cov_28.232792_6 NODE_189_length_14162_cov_28.232792:8661..9620(-)	NODE_2545_length_2636_cov_5.988764_1 NODE_2545_length_2636_cov_5.988764:862..1821(-)		NODE_1954_length_7042_cov_4.157789_4 NODE_1954_length_7042_cov_4.157789:5997..6683(-)		NODE_22_length_139648_cov_4.596736_9 NODE_22_length_139648_cov_4.596736:8904..9434(+)	NODE_3516_length_2247_cov_7.285253_3 NODE_3516_length_2247_cov_7.285253:1310..1804(+)		NODE_252_length_34311_cov_9.415581_30 NODE_252_length_34311_cov_9.415581:25220..25750(-)	NODE_10_length_198017_cov_7.500000_101 NODE_10_length_198017_cov_7.500000:70345..70929(+)		NODE_6_length_275327_cov_6.543969_31 NODE_6_length_275327_cov_6.543969:17993..18433(+)	NODE_4_length_453383_cov_14.078176_465 NODE_4_length_453383_cov_14.078176:379851..381449(+)		NODE_15_length_589584_cov_37.775908_150 NODE_15_length_589584_cov_37.775908:155593..157374(-)			NODE_50_length_29658_cov_18.345391_28 NODE_50_length_29658_cov_18.345391:24504..24995(+)		NODE_2_length_699377_cov_12.543642_620 NODE_2_length_699377_cov_12.543642:526583..527875(+)	NODE_19_length_322648_cov_22.464124_194 NODE_19_length_322648_cov_22.464124:169654..170907(+)	NODE_12_length_577205_cov_22.723553_139 NODE_12_length_577205_cov_22.723553:150757..152136(-)	NODE_51_length_25108_cov_39.492330_9 NODE_51_length_25108_cov_39.492330:9381..10862(-)	NODE_753_length_15057_cov_3.389453_11 NODE_753_length_15057_cov_3.389453:7574..7978(+)	NODE_6_length_802021_cov_15.519641_330 NODE_6_length_802021_cov_15.519641:329425..331002(-)		NODE_54_length_59536_cov_9.673170_44 NODE_54_length_59536_cov_9.673170:38576..39682(+)	NODE_1011_length_10945_cov_5.188443_2 NODE_1011_length_10945_cov_5.188443:1166..2317(+)	NODE_69_length_150081_cov_5.784652_20 NODE_69_length_150081_cov_5.784652:13132..13602(+)				NODE_16_length_155415_cov_33.966647_183 NODE_16_length_155415_cov_33.966647:138343..139353(-)								NODE_1009_length_3597_cov_6.129261_2 NODE_1009_length_3597_cov_6.129261:2559..3053(-)			NODE_1224_length_9861_cov_16.169256_12 NODE_1224_length_9861_cov_16.169256:7715..7972(+)
NCVOG0005	NODE_42_length_128278_cov_8.814409_48 NODE_42_length_128278_cov_8.814409:39250..40488(+)	NODE_51_length_165273_cov_19.466976_52 NODE_51_length_165273_cov_19.466976:36457..37530(-)	NODE_2033_length_6088_cov_41.700216_4 NODE_2033_length_6088_cov_41.700216:1854..2615(+)	NODE_10662_length_1325_cov_1.887402_1 NODE_10662_length_1325_cov_1.887402:2..778(-)	NODE_2070_length_3874_cov_44.117570_1 NODE_2070_length_3874_cov_44.117570:1..642(-)	NODE_110_length_14742_cov_6.595288_4 NODE_110_length_14742_cov_6.595288:6986..7786(-)	NODE_35_length_63869_cov_27.035443_72 NODE_35_length_63869_cov_27.035443:62022..63095(+)	NODE_183_length_35530_cov_4.478972_33 NODE_183_length_35530_cov_4.478972:25393..26475(+)	NODE_8_length_79474_cov_36.970414_79 NODE_8_length_79474_cov_36.970414:60540..62591(-)	NODE_183_length_41773_cov_4.647664_17 NODE_183_length_41773_cov_4.647664:10654..12411(+)	NODE_6075_length_1636_cov_7.866581_3 NODE_6075_length_1636_cov_7.866581:782..1555(+)		NODE_457_length_13659_cov_9.797453_14 NODE_457_length_13659_cov_9.797453:11311..13068(+)	NODE_3_length_255536_cov_5.079637_315 NODE_3_length_255536_cov_5.079637:224860..226353(-)	NODE_1447_length_8212_cov_47.620529_8 NODE_1447_length_8212_cov_47.620529:3104..4519(+)	NODE_35_length_142089_cov_10.518590_52 NODE_35_length_142089_cov_10.518590:34620..35531(+)	NODE_21_length_261149_cov_13.865528_225 NODE_21_length_261149_cov_13.865528:189385..190968(-)	NODE_147_length_72086_cov_9.237456_28 NODE_147_length_72086_cov_9.237456:19118..20332(+)	NODE_2_length_1046662_cov_36.997729_451 NODE_2_length_1046662_cov_36.997729:410198..411907(+)	NODE_137_length_27100_cov_22.481664_3 NODE_137_length_27100_cov_22.481664:889..1563(+)	NODE_3653_length_1042_cov_68.730010_2 NODE_3653_length_1042_cov_68.730010:248..1042(+)	NODE_3683_length_3963_cov_13.700463_3 NODE_3683_length_3963_cov_13.700463:2343..3200(-)	NODE_123_length_66535_cov_6.527100_75 NODE_123_length_66535_cov_6.527100:47481..48257(+)	NODE_12_length_420860_cov_12.475231_394 NODE_12_length_420860_cov_12.475231:324401..326248(+)	NODE_13_length_370313_cov_22.300857_273 NODE_13_length_370313_cov_22.300857:212035..213744(+)	NODE_11_length_599322_cov_22.430680_261 NODE_11_length_599322_cov_22.430680:210995..212278(+)	NODE_3_length_64327_cov_25.379580_27 NODE_3_length_64327_cov_25.379580:18660..20348(+)	NODE_35_length_160304_cov_5.637851_65 NODE_35_length_160304_cov_5.637851:51451..52974(-)	NODE_4_length_1027564_cov_15.664503_659 NODE_4_length_1027564_cov_15.664503:602073..604067(+)	NODE_1119_length_3819_cov_17.520844_2 NODE_1119_length_3819_cov_17.520844:770..1771(-)	NODE_100_length_46005_cov_9.611849_25 NODE_100_length_46005_cov_9.611849:38314..39984(-)	NODE_94_length_60825_cov_6.015342_15 NODE_94_length_60825_cov_6.015342:15470..17080(+)	NODE_110_length_113217_cov_5.666590_50 NODE_110_length_113217_cov_5.666590:38031..38588(-)	NODE_13_length_244689_cov_8.533318_184 NODE_13_length_244689_cov_8.533318:137202..137789(-)	NODE_6213_length_977_cov_15.394444_1 NODE_6213_length_977_cov_15.394444:2..529(-)		NODE_5_length_204515_cov_25.238013_47 NODE_5_length_204515_cov_25.238013:34991..36163(+)		NODE_5_length_164131_cov_24.035104_168 NODE_5_length_164131_cov_24.035104:153040..154044(-)	NODE_3_length_251653_cov_8.396632_156 NODE_3_length_251653_cov_8.396632:103754..104611(-)	NODE_382_length_8801_cov_25.174003_3 NODE_382_length_8801_cov_25.174003:1473..2285(+)	NODE_623_length_6607_cov_25.182083_7 NODE_623_length_6607_cov_25.182083:4287..5285(-)	NODE_163_length_21894_cov_30.663978_14 NODE_163_length_21894_cov_30.663978:9821..10615(+)	NODE_1414_length_9473_cov_34.341635_11 NODE_1414_length_9473_cov_34.341635:7700..8674(+)	NODE_3910_length_1861_cov_9.276906_2 NODE_3910_length_1861_cov_9.276906:636..1409(+)	NODE_441_length_17403_cov_11.291816_8 NODE_441_length_17403_cov_11.291816:9494..10066(+)	NODE_28_length_51609_cov_202.461092_22 NODE_28_length_51609_cov_202.461092:17307..18419(+)	NODE_870_length_13201_cov_14.563167_4 NODE_870_length_13201_cov_14.563167:3506..4396(-)
NCVOG0006							NODE_3903_length_1865_cov_9.063199_2 NODE_3903_length_1865_cov_9.063199:1231..1863(-)				NODE_1080_length_3737_cov_6.673770_2 NODE_1080_length_3737_cov_6.673770:419..1435(-)										NODE_10_length_63954_cov_100.638790_12 NODE_10_length_63954_cov_100.638790:9396..10553(+)	NODE_1707_length_8222_cov_16.812769_3 NODE_1707_length_8222_cov_16.812769:1397..2950(+)	NODE_206_length_39926_cov_6.967678_34 NODE_206_length_39926_cov_6.967678:32547..34511(+)					NODE_130_length_77396_cov_5.882267_24 NODE_130_length_77396_cov_5.882267:18002..20476(+)	NODE_134_length_2586_cov_3.790753_2 NODE_134_length_2586_cov_3.790753:1682..2248(-)														NODE_95_length_26606_cov_32.602284_25 NODE_95_length_26606_cov_32.602284:16489..18393(+)		NODE_135_length_10598_cov_6.073750_3 NODE_135_length_10598_cov_6.073750:2227..3345(+)			
NCVOG0007	NODE_11_length_220248_cov_8.725354_46 NODE_11_length_220248_cov_8.725354:27785..28888(+)	NODE_5_length_515902_cov_20.459836_307 NODE_5_length_515902_cov_20.459836:227376..228719(-)	NODE_5615_length_3028_cov_36.637750_2 NODE_5615_length_3028_cov_36.637750:851..2320(+)	NODE_1671_length_6678_cov_7.092103_3 NODE_1671_length_6678_cov_7.092103:3956..4711(-)	NODE_6799_length_673_cov_48.729773_1 NODE_6799_length_673_cov_48.729773:3..671(+)		NODE_172_length_27348_cov_17.918375_15 NODE_172_length_27348_cov_17.918375:20825..22174(+)	NODE_1246_length_12073_cov_13.417417_2 NODE_1246_length_12073_cov_13.417417:634..1788(-)	NODE_1713_length_2704_cov_28.782642_3 NODE_1713_length_2704_cov_28.782642:1108..2157(-)	NODE_91_length_66608_cov_4.377271_44 NODE_91_length_66608_cov_4.377271:28895..30046(+)	NODE_17104_length_650_cov_11.125654_1 NODE_17104_length_650_cov_11.125654:1..648(+)		NODE_98_length_79812_cov_9.396401_49 NODE_98_length_79812_cov_9.396401:30654..31805(+)	NODE_9_length_200239_cov_5.036680_179 NODE_9_length_200239_cov_5.036680:121328..122431(+)	NODE_1593_length_7233_cov_48.956121_6 NODE_1593_length_7233_cov_48.956121:3341..4408(+)	NODE_45_length_127035_cov_6.263780_170 NODE_45_length_127035_cov_6.263780:120081..121187(+)		NODE_352_length_21169_cov_9.310307_13 NODE_352_length_21169_cov_9.310307:8900..9199(-)		NODE_3729_length_1635_cov_40.116175_3 NODE_3729_length_1635_cov_40.116175:1341..1610(+)	NODE_1_length_88318_cov_81.767387_67 NODE_1_length_88318_cov_81.767387:59217..59819(-)	NODE_146_length_22693_cov_16.822648_22 NODE_146_length_22693_cov_16.822648:17241..18404(-)	NODE_82_length_88011_cov_6.853401_43 NODE_82_length_88011_cov_6.853401:28495..29097(+)			NODE_30_length_312629_cov_22.718354_162 NODE_30_length_312629_cov_22.718354:152686..153765(+)	NODE_1363_length_2391_cov_24.088159_3 NODE_1363_length_2391_cov_24.088159:1429..1749(-)	NODE_28_length_168760_cov_3.388160_213 NODE_28_length_168760_cov_3.388160:147874..148977(-)	NODE_14_length_557804_cov_15.796300_240 NODE_14_length_557804_cov_15.796300:244830..246218(-)	NODE_4479_length_1005_cov_23.778017_1 NODE_4479_length_1005_cov_23.778017:1..579(+)	NODE_91_length_48279_cov_8.818057_38 NODE_91_length_48279_cov_8.818057:41343..42611(+)	NODE_313_length_36279_cov_5.758328_44 NODE_313_length_36279_cov_5.758328:30040..30432(-)		NODE_119_length_68638_cov_8.415513_79 NODE_119_length_68638_cov_8.415513:49718..49918(-)	NODE_23_length_57443_cov_4.885437_37 NODE_23_length_57443_cov_4.885437:21132..22256(-)	NODE_6210_length_1268_cov_9.905961_3 NODE_6210_length_1268_cov_9.905961:605..919(-)	NODE_90_length_48876_cov_25.806717_40 NODE_90_length_48876_cov_25.806717:27590..28504(+)		NODE_95_length_21863_cov_22.710194_9 NODE_95_length_21863_cov_22.710194:5042..5611(-)	NODE_19_length_173172_cov_8.529241_58 NODE_19_length_173172_cov_8.529241:39444..40049(-)	NODE_490_length_7544_cov_25.930628_9 NODE_490_length_7544_cov_25.930628:6425..7309(-)	NODE_2125_length_1488_cov_30.616584_2 NODE_2125_length_1488_cov_30.616584:369..1253(-)	NODE_2766_length_1744_cov_16.239352_1 NODE_2766_length_1744_cov_16.239352:213..1379(+)	NODE_3771_length_3386_cov_25.477183_3 NODE_3771_length_3386_cov_25.477183:2486..3289(+)	NODE_16590_length_598_cov_10.765835_1 NODE_16590_length_598_cov_10.765835:1..597(+)	NODE_11_length_147798_cov_6.063850_157 NODE_11_length_147798_cov_6.063850:117652..118572(-)	NODE_5226_length_847_cov_151.338961_2 NODE_5226_length_847_cov_151.338961:390..845(+)	NODE_332_length_24182_cov_14.107737_5 NODE_332_length_24182_cov_14.107737:2937..3662(+)
NCVOG0009											NODE_1743_length_3099_cov_6.338187_1 NODE_1743_length_3099_cov_6.338187:3..944(-)																							NODE_920_length_4654_cov_10.646930_6 NODE_920_length_4654_cov_10.646930:3081..3641(-)										NODE_1414_length_9473_cov_34.341635_4 NODE_1414_length_9473_cov_34.341635:2792..3154(-)	NODE_4536_length_1711_cov_5.768054_1 NODE_4536_length_1711_cov_5.768054:1..1128(+)			
NCVOG0010		NODE_14_length_346647_cov_16.546608_91 NODE_14_length_346647_cov_16.546608:108378..109997(+)									NODE_1325_length_3459_cov_7.208457_1 NODE_1325_length_3459_cov_7.208457:3..644(-)					NODE_222_length_30872_cov_5.464199_3 NODE_222_length_30872_cov_5.464199:1112..2425(+)					NODE_346_length_17028_cov_60.110082_4 NODE_346_length_17028_cov_60.110082:3360..4052(+)																							NODE_8693_length_784_cov_72.253182_2 NODE_8693_length_784_cov_72.253182:392..784(+)	NODE_226_length_7893_cov_3.809365_3 NODE_226_length_7893_cov_3.809365:2392..3711(+)			
NCVOG0012		NODE_5_length_515902_cov_20.459836_468 NODE_5_length_515902_cov_20.459836:363777..365081(+)		NODE_252_length_18294_cov_14.845112_1 NODE_252_length_18294_cov_14.845112:3..5495(-)	NODE_9_length_27513_cov_48.174011_11 NODE_9_length_27513_cov_48.174011:8731..14535(-)	NODE_268_length_10995_cov_6.611243_4 NODE_268_length_10995_cov_6.611243:3744..6833(+)	NODE_541_length_16337_cov_15.996556_2 NODE_541_length_16337_cov_15.996556:619..4443(-)								NODE_198_length_35930_cov_51.318514_15 NODE_198_length_35930_cov_51.318514:10396..11997(+)		NODE_22_length_253920_cov_14.087361_211 NODE_22_length_253920_cov_14.087361:177781..179343(-)	NODE_123_length_82988_cov_18.100976_84 NODE_123_length_82988_cov_18.100976:60601..63150(+)								NODE_52_length_101671_cov_22.181369_69 NODE_52_length_101671_cov_22.181369:57266..58180(-)		NODE_15_length_217657_cov_5.660028_137 NODE_15_length_217657_cov_5.660028:107848..108987(+)			NODE_3574_length_1437_cov_7.880147_1 NODE_3574_length_1437_cov_7.880147:31..1341(-)		NODE_342_length_42544_cov_5.422163_64 NODE_342_length_42544_cov_5.422163:40432..42459(+)	NODE_48_length_147559_cov_8.466128_137 NODE_48_length_147559_cov_8.466128:95930..97390(-)										NODE_5689_length_1750_cov_18.783622_1 NODE_5689_length_1750_cov_18.783622:3..1727(+)				
