VOG	Allomyces_arbuscula_Burma_1F	Allomyces_javanicus_California_12	Allomyces_macrogynus_ATCC_38327	Anaeromyces_robustus_v1.0	Batrachochytrium_dendrobatidis_JAM81_v1.0	Blastocladiella_britannica_v1.0	Blyttiomyces_helicus_single-cell_v1.0	Blyttiomyces_sp	Boothiomyces_macroporosum_PLAUS21	Borealophlyctis_nickersoniae_WJD170	Caecomyces_churrovis_A_v1.0	Catenaria_anguillulae_PL171_v2.0	Caulochytrium_protostelioides_ATCC_52028_single-cell_v1.0	Caulochytrium_protostelioides_ATCC_52028_v1.0	Chytridium_lagenaria_Arg66_v1.0	Chytriomyces_hyalinus_ARG085	Chytriomyces_hyalinus_ARG121	Chytriomyces_hyalinus_JEL0117	Chytriomyces_hyalinus_JEL0176	Chytriomyces_hyalinus_JEL0345	Chytriomyces_hyalinus_JEL632_v1.0	Chytriomyces_sp._MP_71_v1.0	Cladochytrium_polystomum_WB228_v1.0	Cladochytrium_replicatum_JEL714_v1.0	Cladochytrium_tenue_C_tenue	Dinochytrium_kinnereticum_KLL_TL_06062013	Entophlyctis_helioformis_JEL805_v1.0	Entophlyctis_luteolus_JEL0120	Entophlyctis_luteolus_JEL0129	Entophlyctis_sp	Fimicolochytrium_jonesii_JEL569_v1.0	Gaertneriomyces_semiglobifer_Barr_43_v1.0	Gaertneriomyces_sp	Geranomyces_michiganensis_JEL0563	Geranomyces_variabilis_JEL0379	Geranomyces_variabilis_JEL0389	Geranomyces_variabilis_JEL0566	Geranomyces_variabilis_JEL0567	Geranomyces_variabilis_JEL559_v1.0	Globomyces_pollinis-pini_Arg68_v1.0	Gonapodya_prolifera_v1.0	Gorgonomyces_haynaldii_MP57_v1.0	Homolaphlyctis_polyrhiza_JEL142_v1.0	Hyaloraphidium_curvatum_SAG235-1_v1.0	Irineochytrium_annulatum_JEL0729	Kappamyces_sp	Lobulomyces_angularis_JEL0522	Lobulomyces_sp	Neocallimastix_californiae_G1_v1.0	Nowakowskiella_sp	Obelidium_mucronatum_JEL802_v1.0	Paranamyces_uniporus_JEL0695	Paraphysoderma_sedebokerense_JEL0847	Paraphysoderma_sedebokerense_JEL821_v1.0	Pecoramyces_ruminatium_C1A	Phlyctochytrium_bullatum_JEL0754	Phlyctochytrium_planicorne_JEL0388	Physocladia_obscura_JEL0513	Piromyces_finnis_v3.0	Piromyces_sp._E2_v1.0	Podochytrium_sp	Polychytrium_aggregatum_JEL109_v1.0	Powellomyces_hirtus_BR81_v1.0	Quaeritorhiza_haematococci_JEL0916	Rhizoclosmatium_globosum_JEL800_v1.0	Rhizoclosmatium_hyalinus_JEL0917	Rhizophlyctis_rosea_JEL0318	Rhizophlyctis_rosea_JEL0764	Rhizophydium_sp	Siphonaria_sp	SmithFen_BAUOG	Spizellomyces_punctatus_DAOM_BR117	Thoreauomyces_humboldtii_JEL0095	Triparticalcar_arcticum_BR59_v1.0	Unknown_unknown_JEL0888
NCVOG0001	4.2e-45	4.9e-35	4e-45	3.8e-26	2.9e-48	2e-46	4.9e-46		2.9e-40	9.8e-45	6.3e-37	4.8e-48	1.3e-44	3.6e-44	1.4e-36	1.3e-33	5.2e-34	9.9e-28	1.2e-33	3.1e-34	3.8e-35	9.9e-35	7.6e-41	4.5e-44	2.4e-46	5.1e-65	1.5e-46		3.1e-63	5.1e-59	2.2e-47	1.1e-44	1.5e-45	1.5e-46	9.5e-35	4.5e-47	6.4e-46	7.7e-46	2.2e-47	1.6e-30	7.4e-48	1e-40	1.3e-36	1.6e-37	1.1e-42	1.3e-40	3e-30	1.9e-30	6.5e-36	1.2e-57	3.4e-35	2.9e-44	8.1e-42	2.2e-34	1.3e-21	7.6e-41	7.2e-44	9.3e-49	3.4e-37	4.4e-37	1.2e-44	1.6e-46	1.2e-46	1.7e-46	7.5e-38	1.1e-39	1.5e-34	1.5e-45	7.5e-45	7.5e-51		9.7e-46	4.2e-36	4.6e-38	3.9e-52
NCVOG0002				5.4e-23	5e-41		2.3e-34		9.6e-28	1.6e-37			5.5e-39	1.7e-39	1.5e-18	5.4e-33	9.2e-27	3.2e-37	2.7e-32	3.4e-33	7.9e-36	3.7e-36	1.1e-35	1.3e-30	6e-33	2.5e-17	5.6e-34		1.8e-51	4.1e-49	7.9e-37	5e-52	1.6e-36	4e-31	6.2e-31	3.8e-30	2e-30	1.3e-29	3.8e-31	1.9e-44	8.2e-15	1.9e-30	6.1e-26	6e-39	2.4e-36	4.8e-44	2.7e-26	6.8e-29		4.2e-30	3.4e-34	1.7e-34	4.2e-30			3.1e-19	1.3e-17	1.9e-41	1.4e-23	6.7e-14	9.7e-34	1e-46	1.8e-40		9.1e-35	4.2e-28	1.3e-37	1.2e-37	3.9e-46	3.7e-32		2.2e-40	2.3e-38	3e-34	1.5e-20
NCVOG0004																2.6e-13	1.2e-13	2.7e-21	2.1e-13	1.2e-13	2.6e-15	3.9e-18							2.2e-21	8.8e-20		6.2e-20	2.5e-17	1.5e-17	1e-16	3.4e-15	9.7e-15	9.6e-15	1.4e-17					3.3e-16	2.5e-15						6.4e-16	2.8e-14				2.1e-19		1.9e-21			1.5e-20		1.1e-18		9.6e-15	2.2e-21				1.2e-31		1.4e-16		3.3e-15	
NCVOG0005		2.5e-13				5e-11			9.6e-12	5.8e-12		2.6e-16						2.4e-15							2.7e-12	7.7e-13	1.8e-18			3e-12	4.5e-13	1.2e-17	1e-17	4.5e-11		2.4e-11	3.3e-11		2.2e-12	1.9e-15		2e-16		6.2e-14	5.9e-42	2.8e-12						1.4e-12	2.9e-15			6.9e-14					1.7e-24	1.7e-15		1.4e-11	5.6e-11	6.7e-17	2e-11	3.7e-11	1.3e-14				3.3e-15		2.4e-13
NCVOG0006																																	5.6e-45																																										
NCVOG0007	1.2e-32	1.7e-32	1e-33	1.6e-37	5.6e-28	4.9e-26	1.3e-22		2.3e-22	2.1e-30	2.2e-36	1.3e-31	5.9e-34	7e-35				9.6e-24				2e-24	2.3e-37	5.1e-22	2.4e-28	2.4e-13	4.4e-30				6.8e-33	8.4e-46	3.9e-36	3.5e-28	4.3e-27	2.7e-28	2.5e-28	1.3e-26	1.9e-29	1.6e-25	7.9e-11	2e-37		7.6e-14		3.1e-12	1.4e-13	3e-13	6.1e-38	1.9e-15	5.7e-27	2.6e-26	2.7e-24	6.6e-11	1.3e-37	2e-17		1.1e-13	1.4e-36	1.1e-36	5.3e-11	1.8e-25	2.2e-29	1.6e-55	7.6e-11	2.3e-16	1.1e-31	3.4e-31	5e-25	2.5e-53		5e-30	7.2e-29	9.4e-31	1.7e-56
NCVOG0008										3.9e-11																																						1.4e-22		2.9e-11								1.5e-20									3e-21						3.2e-25		
NCVOG0010																																																																7.1e-11											
NCVOG0011				3.6e-12																																																																							
NCVOG0012	1e-29		1.1e-31	9.3e-31	9e-38			1.5e-23	1.4e-15			7.3e-31		2.5e-34	1e-35	4e-13	1.7e-11		2.7e-13	9.6e-12	5.5e-49	7.5e-39	9.2e-48	9.1e-29			2.4e-34	3e-16	1.1e-11	1.1e-11	2.1e-15	6.1e-24	3.5e-26	2.6e-15	1.7e-13	2.1e-34	2e-11	6.8e-16	8.2e-36	4.5e-30	1.2e-34	4.7e-18	5.2e-29				4.4e-22	1.1e-13	2.5e-30		2.6e-30	1.2e-12	1.5e-18	1.5e-29		5.8e-11			1.3e-35	3.9e-30		1.6e-35	3.4e-47		2.6e-29			3.9e-11	8.2e-23		8.7e-18	4.2e-16		2.5e-47	
